statename,NAMEID,type,zri_up_st,quint
AK,anchorage,city,1.71968518738585,5
AK,homer,city,-0.0595216743633835,5
AK,kenai,city,-0.371575884164871,1
AK,palmer,city,-0.127390161056403,3
AK,petersburg,city,-0.874606109759869,4
AK,sitka,city,-0.690709746236881,1
AK,yakutat,borough,-1.67225237674795,5
AL,athens,city,-0.590557427539418,3
AL,auburn,city,0.377504634671251,1
AL,bessemer,city,-0.261222001576944,4
AL,birmingham,city,-0.570831306031754,4
AL,chickasaw,city,-0.413432500710338,3
AL,citronelle,city,-0.826660811457038,3
AL,clanton,city,-0.40930767689793,3
AL,decatur,city,-0.794317061544092,2
AL,dothan,city,0.0533342291513857,2
AL,enterprise,city,-0.167155181655937,2
AL,eufaula,city,-1.54696715934402,2
AL,fairhope,city,0.792884895190249,4
AL,foley,city,-0.914122975677495,5
AL,guntersville,city,1.18395224814749,4
AL,hartselle,city,-0.297843851836822,2
AL,huntsville,city,-0.837582793844814,4
AL,lincoln,city,-0.135095338959483,3
AL,madison,city,0.248238907724705,5
AL,mobile,city,-1.0353703014382,2
AL,monroeville,city,-1.24435978407125,5
AL,mountainbrook,city,-0.943161660154732,2
AL,opelika,city,-0.521986355615823,3
AL,opp,city,0.210806116100416,1
AL,prattville,city,-1.59537406009815,5
AL,rainbow,city,-1.19294839470843,3
AL,scottsboro,city,0.210806116100416,1
AL,southside,city,1.16946812888472,2
AL,talladega,city,-0.875500197832093,3
AL,trussville,city,-1.61233402965661,1
AL,valley,city,-1.41012721660989,4
AL,vestaviahills,city,0.375762849066164,4
AR,bentonville,city,0.707220982570961,1
AR,bryant,city,0.516822832759889,4
AR,cherokee,city,-0.625690332644422,2
AR,clarksville,city,0.194846215231602,2
AR,conway,city,-0.0124920757791165,5
AR,fayetteville,city,0.930678484138808,3
AR,forrest,city,-0.925641121390925,5
AR,greenwood,city,-2.51179363054079,4
AR,hotsprings,city,-0.449049145070995,5
AR,jacksonville,city,0.459267874365143,3
AR,malvern,city,-1.59416622723312,2
AR,northlittlerock,city,-0.637809585652259,4
AR,pinebluff,city,-0.40147051102076,1
AR,rogers,city,0.968231581266666,1
AR,siloamsprings,city,-0.995076990645307,2
AR,springdale,city,0.207970710168057,2
AR,trumann,city,0.156546124727738,3
AZ,apachejunction,city,0.21889648315083,3
AZ,avondale,city,1.542095974143,3
AZ,benson,city,-1.81036672242901,1
AZ,casagrande,city,1.04576702343093,3
AZ,cavecreek,town,0.0378937341911219,4
AZ,chinovalley,town,0.0338531937874944,4
AZ,cottonwood,city,0.472018288401768,3
AZ,douglas,city,0.402812962087999,4
AZ,eagar,town,0.587241040939459,4
AZ,elmirage,city,0.785342019360266,1
AZ,florence,town,-1.00468300712303,3
AZ,gilbert,town,0.238174885365427,2
AZ,glendale,city,0.77106692944924,4
AZ,goodyear,city,1.18025552099935,5
AZ,guadalupe,town,-1.17561424583281,1
AZ,holbrook,city,-0.882395635115341,1
AZ,kingman,city,0.164353291706867,2
AZ,lakehavasu,city,0.800014264773915,5
AZ,mesa,city,1.97953687114618,3
AZ,orovalley,town,1.01341424034228,3
AZ,peoria,city,1.15981991434148,3
AZ,phoenix,city,1.50363426194522,2
AZ,pinetoplakeside,town,-0.853446636820133,3
AZ,queencreek,town,0.588826708800166,1
AZ,sahuarita,town,0.761794375268192,2
AZ,sanluis,city,1.15254089114012,2
AZ,sedona,city,0.91285451529685,5
AZ,snowflake,town,0.312627080400044,4
AZ,superior,town,0.868300812485544,4
AZ,taylor,town,0.0193073057027971,1
AZ,tempe,city,0.734678775616035,5
AZ,thatcher,town,0.00639531528845938,3
AZ,tolleson,city,0.618991741714644,4
AZ,tucson,city,1.523171253443,3
AZ,willcox,city,-0.00763393075041626,1
AZ,williams,city,1.57893025685864,4
AZ,winslow,city,0.16714660501104,4
AZ,youngtown,town,-1.56320483965071,1
AZ,yuma,city,1.00831894586414,4
CA,agourahills,city,0.558905124944901,1
CA,alameda,city,0.573051173437278,3
CA,albany,city,0.668650684193937,2
CA,alhambra,city,1.02719700718169,4
CA,americancanyon,city,1.28464113614607,2
CA,anaheim,city,1.59147088855207,2
CA,anderson,city,1.62480167336767,2
CA,antioch,city,1.61176541228126,1
CA,arcadia,city,0.482822798820549,4
