children,race,ER,ER_lower,ER_upper,EFR,EFR_lower,EFR_upper
Children under 18 present,AIAN,0.0555,0.0481,0.0628,0.0864,0.0773,0.0955
Children under 18 present,Asian,0.0124,0.0108,0.0141,0.0256,0.0231,0.0281
Children under 18 present,Hispanic,0.037,0.0354,0.0386,0.0654,0.0632,0.0677
Children under 18 present,Black,0.1157,0.1128,0.1185,0.2666,0.2616,0.2715
Children under 18 present,White,0.0387,0.0378,0.0396,0.0622,0.061,0.0634
Children under 18 present,NHPI,0.0512,0.0372,0.0652,0.073,0.0558,0.0901
Children under 18 present,Other,0.0444,0.0421,0.0467,0.0845,0.0813,0.0876
No children present,AIAN,0.0344,0.029,0.0396,0.0566,0.0499,0.0636
No children present,Asian,0.006,0.0052,0.0069,0.0139,0.0125,0.0152
No children present,Hispanic,0.0204,0.0191,0.0217,0.0403,0.0385,0.0421
No children present,Black,0.0634,0.0617,0.0652,0.1611,0.1579,0.1642
No children present,White,0.0151,0.0147,0.0155,0.026,0.0255,0.0265
No children present,NHPI,0.0216,0.0119,0.0312,0.0424,0.0283,0.0565
No children present,Other,0.0269,0.025,0.0288,0.0571,0.0546,0.0598
