State,Filings in 2018,Filings in 2019,Filings in 2020,Filings in 2021
Alaska,"2,740","2,546","2,137","1,509"
Arizona,"84,905","87,933","74,013","45,383"
Arkansas,"5,165","5,514","4,826","5,875"
California,"137,142","132,884","92,098","35,727"
Colorado,"39,081","38,183","26,112","20,461"
Connecticut,"15,731","15,186","11,580","4,781"
Delaware,"17,618","17,627","12,942","7,345"
Florida,"128,827","129,125","82,471","94,319"
Georgia,"244,614","277,482","150,172","183,998"
Hawaii,"2,497","2,436","1,052","1,468"
Idaho,"2,629","3,011","2,264","2,234"
Iowa,"17,735","18,908","12,564","13,945"
Kansas,"14,555","14,671","12,347","9,110"
Kentucky,"42,779","41,764","21,068","28,354"
Maine,"5,825","5,276","3,858","3,439"
Maryland,"664,589","678,201","305,311","344,437"
Massachusetts,"40,900","39,591","29,145","18,556"
Michigan,"188,877","194,205","94,600","125,728"
Minnesota,"17,293","17,934","5,653","5,829"
Missouri,"45,793","45,589","28,781","30,041"
Nebraska,"10,033","9,368","6,186","5,947"
Nevada,"44,923","45,485","30,202","33,474"
New Hampshire,"7,413","7,123","4,246","4,500"
New Jersey,"157,052","151,920","129,561","53,138"
New Mexico,Not available ,"17,218","14,422","8,972"
New York,Not available ,"262,587","109,038","69,280"
North Carolina,"3,298","2,700","3,022","6,131"
North Dakota,"9,713","11,987","10,607","10,203"
Ohio,"106,251","107,039","69,167","80,486"
Oregon,"18,250","18,675","6,119","7,947"
Pennsylvania,"96,827","96,805","48,000","59,783"
Rhode Island,"8,326","8,063","4,594","5,196"
South Dakota,"1,075","1,205","1,139","1,249"
Texas,"244,344","264,104","137,982","152,916"
Utah,"6,973","6,732","5,905","4,134"
Vermont,"1,746","1,746",453,453
Virginia,"165,826","157,593","79,872","42,775"
Washington,"16,936","15,184","4,748","3,981"
West Virginia,"13,311","12,885","9,552","8,911"
Wisconsin,"2,433","2,297","1,488","1,091"
Wyoming,"1,389","1,394","1,050","1,010"
