month_of_payment,county_geoid_coalesced,county_monthly_spending,county_all_spending,pct_county_all_spending_monthly,national_monthly_spending,national_all_spending,pct_national_all_spending_monthly,county_total_dataset_spending,county_total_unique_assisted_addresses
03/01/2021,55097,374469,4743179.19,7.8948946476550885,117596574.05,20642637756.227936,0.5696780393994019,4743179.19,891
04/01/2021,55097,232511.6,4743179.19,4.9020201574969375,268448350.152,20642637756.227936,1.300455655532726,4743179.19,891
05/01/2021,55097,199989,4743179.19,4.216349245704968,438559731,20642637756.227936,2.1245333865711298,4743179.19,891
06/01/2021,55097,197833,4743179.19,4.170894500825299,799066761.2060927,20642637756.227936,3.870952785406566,4743179.19,891
07/01/2021,55097,163611,4743179.19,3.4493952989366186,890172248.086006,20642637756.227936,4.312298934846342,4743179.19,891
08/01/2021,55097,242117.86,4743179.19,5.104548032055267,1316326530.2199848,20642637756.227936,6.3767360826881045,4743179.19,891
09/01/2021,55097,262987,4743179.19,5.544530144559012,1716158781.0419526,20642637756.227936,8.313660304987831,4743179.19,891
10/01/2021,55097,91439,4743179.19,1.9277998223803134,1785562901.5214994,20642637756.227936,8.649877610640097,4743179.19,891
11/01/2021,55097,116890,4743179.19,2.464380857599436,1679931642.053242,20642637756.227936,8.138163648908689,4743179.19,891
12/01/2021,55097,240342,4743179.19,5.067107742981981,1391664330.382005,20642637756.227936,6.741698162882001,4743179.19,891
01/01/2022,55097,204111.34,4743179.19,4.303260151552486,1209292172.6716359,20642637756.227936,5.8582250337982575,4743179.19,891
02/01/2022,55097,204147,4743179.19,4.304011967972898,1048882637.438392,20642637756.227936,5.081146362324464,4743179.19,891
03/01/2022,55097,216014.39,4743179.19,4.554211033296425,1428847105.19931,20642637756.227936,6.921824245877799,4743179.19,891
04/01/2022,55097,208471,4743179.19,4.395174452601695,1039238877.2895434,20642637756.227936,5.034428688630175,4743179.19,891
05/01/2022,55097,187856,4743179.19,3.9605503497749996,1003392614.37477,20642637756.227936,4.860777126566802,4743179.19,891
06/01/2022,55097,242513,4743179.19,5.112878731448474,1018398826.24,20642637756.227936,4.933472351094019,4743179.19,891
07/01/2022,55097,123391,4743179.19,2.6014408281294554,655729242.651,20642637756.227936,3.1765768037719155,4743179.19,891
08/01/2022,55097,200575,4743179.19,4.228703828496936,658114758.1877,20642637756.227936,3.1881330572162234,4743179.19,891
09/01/2022,55097,169620,4743179.19,3.5760824798187727,567987737.438,20642637756.227936,2.751526932485344,4743179.19,891
10/01/2022,55097,121063,4743179.19,2.552359823454192,394730679.33925,20642637756.227936,1.912210464576693,4743179.19,891
11/01/2022,55097,171179,4743179.19,3.6089507299427996,364129026.824,20642637756.227936,1.7639655896889503,4743179.19,891
12/01/2022,55097,149219,4743179.19,3.1459701188307836,322530920.83,20642637756.227936,1.5624501318039725,4743179.19,891
01/01/2023,55097,171697,4743179.19,3.619871675141162,209487105.91,20642637756.227936,1.0148272153194047,4743179.19,891
02/01/2023,55097,176635,4743179.19,3.7239790639240002,146667564.285,20642637756.227936,0.7105078624980958,4743179.19,891
03/01/2023,55097,74498,4743179.19,1.5706343154199915,128008839.2065522,20642637756.227936,0.6201186142886783,4743179.19,891
