cofips,state,county,
21023,KY,Bracken County,
21025,KY,Breathitt County,
21031,KY,Butler County,
21033,KY,Caldwell County,
21035,KY,Calloway County,
21039,KY,Carlisle County,
21043,KY,Carter County,
21045,KY,Casey County,
21053,KY,Clinton County,
21055,KY,Crittenden County,
21057,KY,Cumberland County,
21061,KY,Edmonson County,
21063,KY,Elliott County,
21067,KY,Fayette County,
21069,KY,Fleming County,
21075,KY,Fulton County,
21079,KY,Garrard County,
21087,KY,Green County,
21091,KY,Hancock County,
21111,KY,Jefferson County,
21119,KY,Knott County,
21121,KY,Knox County,
21123,KY,Larue County,
21125,KY,Laurel County,
21127,KY,Lawrence County,
21131,KY,Leslie County,
21137,KY,Lincoln County,
21141,KY,Logan County,
21143,KY,Lyon County,
21149,KY,McLean County,
21155,KY,Marion County,
21157,KY,Marshall County,
21169,KY,Metcalfe County,
21171,KY,Monroe County,
21175,KY,Morgan County,
21177,KY,Muhlenberg County,
21183,KY,Ohio County,
21189,KY,Owsley County,
21201,KY,Robertson County,
21207,KY,Russell County,
21213,KY,Simpson County,
21217,KY,Taylor County,
21219,KY,Todd County,
21221,KY,Trigg County,
21227,KY,Warren County,
21229,KY,Washington County,
21231,KY,Wayne County,
21233,KY,Webster County,
21237,KY,Wolfe County,
23001,ME,Androscoggin County,
23011,ME,Kennebec County,
23013,ME,Knox County,
23017,ME,Oxford County,
23021,ME,Piscataquis County,
23023,ME,Sagadahoc County,
23025,ME,Somerset County,
23027,ME,Waldo County,
23029,ME,Washington County,
25001,MA,Barnstable County,
25003,MA,Berkshire County,
25007,MA,Dukes County,
25009,MA,Essex County,
25011,MA,Franklin County,
25013,MA,Hampden County,
25015,MA,Hampshire County,
25017,MA,Middlesex County,
25021,MA,Norfolk County,
25025,MA,Suffolk County,
25027,MA,Worcester County,
26003,MI,Alger County,
26005,MI,Allegan County,
26013,MI,Baraga County,
26023,MI,Branch County,
26027,MI,Cass County,
26037,MI,Clinton County,
26045,MI,Eaton County,
26057,MI,Gratiot County,
26073,MI,Isabella County,
26075,MI,Jackson County,
26087,MI,Lapeer County,
26089,MI,Leelanau County,
26091,MI,Lenawee County,
26095,MI,Luce County,
26097,MI,Mackinac County,
26109,MI,Menominee County,
26115,MI,Monroe County,
26117,MI,Montcalm County,
26119,MI,Montmorency County,
26121,MI,Muskegon County,
26123,MI,Newaygo County,
26131,MI,Ontonagon County,
26139,MI,Ottawa County,
26155,MI,Shiawassee County,
26159,MI,Van Buren County,
26161,MI,Washtenaw County,
27003,MN,Anoka County,
27011,MN,Big Stone County,
27015,MN,Brown County,
27019,MN,Carver County,
27021,MN,Cass County,
27029,MN,Clearwater County,
27031,MN,Cook County,
27037,MN,Dakota County,
27039,MN,Dodge County,
27043,MN,Faribault County,
27045,MN,Fillmore County,
27047,MN,Freeborn County,
27049,MN,Goodhue County,
27051,MN,Grant County,
27055,MN,Houston County,
27057,MN,Hubbard County,
27059,MN,Isanti County,
27063,MN,Jackson County,
27065,MN,Kanabec County,
27071,MN,Koochiching County,
27073,MN,Lac qui Parle County,
27075,MN,Lake County,
27077,MN,Lake of the Woods County,
27079,MN,Le Sueur County,
27085,MN,McLeod County,
27089,MN,Marshall County,
27091,MN,Martin County,
27093,MN,Meeker County,
27095,MN,Mille Lacs County,
27099,MN,Mower County,
27101,MN,Murray County,
27103,MN,Nicollet County,
27105,MN,Nobles County,
27107,MN,Norman County,
27109,MN,Olmsted County,
27115,MN,Pine County,
27117,MN,Pipestone County,
27119,MN,Polk County,
27121,MN,Pope County,
27129,MN,Renville County,
27131,MN,Rice County,
27133,MN,Rock County,
27135,MN,Roseau County,
27141,MN,Sherburne County,
27143,MN,Sibley County,
27147,MN,Steele County,
27149,MN,Stevens County,
27153,MN,Todd County,
27157,MN,Wabasha County,
27161,MN,Waseca County,
27163,MN,Washington County,
27165,MN,Watonwan County,
27167,MN,Wilkin County,
27169,MN,Winona County,
27171,MN,Wright County,
27173,MN,Yellow Medicine County,
29001,MO,Adair County,
29003,MO,Andrew County,
29005,MO,Atchison County,
29007,MO,Audrain County,
29011,MO,Barton County,
29013,MO,Bates County,
29015,MO,Benton County,
29017,MO,Bollinger County,
29019,MO,Boone County,
29021,MO,Buchanan County,
29023,MO,Butler County,
29025,MO,Caldwell County,
29027,MO,Callaway County,
29029,MO,Camden County,
29033,MO,Carroll County,
29035,MO,Carter County,
29037,MO,Cass County,
29039,MO,Cedar County,
29041,MO,Chariton County,
29043,MO,Christian County,
29045,MO,Clark County,
29047,MO,Clay County,
29049,MO,Clinton County,
29051,MO,Cole County,
29053,MO,Cooper County,
29055,MO,Crawford County,
29057,MO,Dade County,
29059,MO,Dallas County,
29061,MO,Daviess County,
29063,MO,DeKalb County,
29065,MO,Dent County,
29067,MO,Douglas County,
29069,MO,Dunklin County,
29071,MO,Franklin County,
29073,MO,Gasconade County,
29075,MO,Gentry County,
29077,MO,Greene County,
29079,MO,Grundy County,
29081,MO,Harrison County,
29083,MO,Henry County,
29085,MO,Hickory County,
29087,MO,Holt County,
29089,MO,Howard County,
29091,MO,Howell County,
29093,MO,Iron County,
29095,MO,Jackson County,
29097,MO,Jasper County,
29099,MO,Jefferson County,
29101,MO,Johnson County,
29103,MO,Knox County,
29105,MO,Laclede County,
29107,MO,Lafayette County,
29109,MO,Lawrence County,
29111,MO,Lewis County,
29113,MO,Lincoln County,
29115,MO,Linn County,
29117,MO,Livingston County,
29119,MO,McDonald County,
29121,MO,Macon County,
29123,MO,Madison County,
29125,MO,Maries County,
29129,MO,Mercer County,
29133,MO,Mississippi County,
29135,MO,Moniteau County,
29137,MO,Monroe County,
29139,MO,Montgomery County,
29141,MO,Morgan County,
29143,MO,New Madrid County,
29145,MO,Newton County,
29147,MO,Nodaway County,
29149,MO,Oregon County,
29151,MO,Osage County,
29153,MO,Ozark County,
29155,MO,Pemiscot County,
29157,MO,Perry County,
29159,MO,Pettis County,
29161,MO,Phelps County,
29163,MO,Pike County,
29165,MO,Platte County,
29171,MO,Putnam County,
29173,MO,Ralls County,
29175,MO,Randolph County,
29177,MO,Ray County,
29179,MO,Reynolds County,
29181,MO,Ripley County,
29183,MO,St. Charles County,
29185,MO,St. Clair County,
29186,MO,Ste. Genevieve County,
29189,MO,St. Louis County,
29197,MO,Schuyler County,
29199,MO,Scotland County,
29201,MO,Scott County,
29203,MO,Shannon County,
29205,MO,Shelby County,
29207,MO,Stoddard County,
29209,MO,Stone County,
29211,MO,Sullivan County,
29213,MO,Taney County,
29215,MO,Texas County,
29217,MO,Vernon County,
29219,MO,Warren County,
29221,MO,Washington County,
29223,MO,Wayne County,
29229,MO,Wright County,
29510,MO,St. Louis city,
30067,MT,Park County,
31001,NE,Adams County,
31003,NE,Antelope County,
31009,NE,Blaine County,
31011,NE,Boone County,
31013,NE,Box Butte County,
31019,NE,Buffalo County,
31021,NE,Burt County,
31023,NE,Butler County,
31027,NE,Cedar County,
31029,NE,Chase County,
31031,NE,Cherry County,
31035,NE,Clay County,
31037,NE,Colfax County,
31039,NE,Cuming County,
31041,NE,Custer County,
31043,NE,Dakota County,
31045,NE,Dawes County,
31047,NE,Dawson County,
31049,NE,Deuel County,
31051,NE,Dixon County,
31055,NE,Douglas County,
31057,NE,Dundy County,
31059,NE,Fillmore County,
31061,NE,Franklin County,
31063,NE,Frontier County,
31065,NE,Furnas County,
31067,NE,Gage County,
31069,NE,Garden County,
31073,NE,Gosper County,
31079,NE,Hall County,
31081,NE,Hamilton County,
31083,NE,Harlan County,
31087,NE,Hitchcock County,
31089,NE,Holt County,
31093,NE,Howard County,
31095,NE,Jefferson County,
31097,NE,Johnson County,
31099,NE,Kearney County,
31101,NE,Keith County,
31103,NE,Keya Paha County,
31105,NE,Kimball County,
31107,NE,Knox County,
31109,NE,Lancaster County,
31111,NE,Lincoln County,
31115,NE,Loup County,
31117,NE,McPherson County,
31121,NE,Merrick County,
31123,NE,Morrill County,
31125,NE,Nance County,
31127,NE,Nemaha County,
31129,NE,Nuckolls County,
31131,NE,Otoe County,
31133,NE,Pawnee County,
31135,NE,Perkins County,
31137,NE,Phelps County,
31139,NE,Pierce County,
31141,NE,Platte County,
31143,NE,Polk County,
31145,NE,Red Willow County,
31147,NE,Richardson County,
31151,NE,Saline County,
31153,NE,Sarpy County,
31155,NE,Saunders County,
31159,NE,Seward County,
31161,NE,Sheridan County,
31163,NE,Sherman County,
31167,NE,Stanton County,
31169,NE,Thayer County,
31173,NE,Thurston County,
31175,NE,Valley County,
31177,NE,Washington County,
31179,NE,Wayne County,
31181,NE,Webster County,
31185,NE,York County,
32001,NV,Churchill County,
32003,NV,Clark County,
32009,NV,Esmeralda County,
32013,NV,Humboldt County,
32015,NV,Lander County,
32017,NV,Lincoln County,
32021,NV,Mineral County,
32029,NV,Storey County,
32033,NV,White Pine County,
35001,NM,Bernalillo County,
35003,NM,Catron County,
35005,NM,Chaves County,
35006,NM,Cibola County,
35007,NM,Colfax County,
35009,NM,Curry County,
35011,NM,De Baca County,
35013,NM,Dona Ana County,
35015,NM,Eddy County,
35017,NM,Grant County,
35019,NM,Guadalupe County,
35023,NM,Hidalgo County,
35027,NM,Lincoln County,
35028,NM,Los Alamos County,
35029,NM,Luna County,
35033,NM,Mora County,
35035,NM,Otero County,
35037,NM,Quay County,
35041,NM,Roosevelt County,
35051,NM,Sierra County,
35053,NM,Socorro County,
35057,NM,Torrance County,
35059,NM,Union County,
36005,NY,Bronx County,
36081,NY,Queens County,
36085,NY,Richmond County,
37001,NC,Alamance County,
37003,NC,Alexander County,
37005,NC,Alleghany County,
37007,NC,Anson County,
37009,NC,Ashe County,
37011,NC,Avery County,
37013,NC,Beaufort County,
37015,NC,Bertie County,
37017,NC,Bladen County,
37019,NC,Brunswick County,
37021,NC,Buncombe County,
37023,NC,Burke County,
37025,NC,Cabarrus County,
37027,NC,Caldwell County,
37029,NC,Camden County,
37031,NC,Carteret County,
37033,NC,Caswell County,
37035,NC,Catawba County,
37037,NC,Chatham County,
37039,NC,Cherokee County,
37041,NC,Chowan County,
37043,NC,Clay County,
37045,NC,Cleveland County,
37047,NC,Columbus County,
37049,NC,Craven County,
37051,NC,Cumberland County,
37053,NC,Currituck County,
37055,NC,Dare County,
37059,NC,Davie County,
37061,NC,Duplin County,
37063,NC,Durham County,
37065,NC,Edgecombe County,
37067,NC,Forsyth County,
37069,NC,Franklin County,
37071,NC,Gaston County,
37073,NC,Gates County,
37075,NC,Graham County,
37077,NC,Granville County,
37079,NC,Greene County,
37081,NC,Guilford County,
37083,NC,Halifax County,
37085,NC,Harnett County,
37087,NC,Haywood County,
37089,NC,Henderson County,
37091,NC,Hertford County,
37093,NC,Hoke County,
37095,NC,Hyde County,
37099,NC,Jackson County,
37101,NC,Johnston County,
37103,NC,Jones County,
37105,NC,Lee County,
37109,NC,Lincoln County,
37111,NC,McDowell County,
37113,NC,Macon County,
37115,NC,Madison County,
37117,NC,Martin County,
37119,NC,Mecklenburg County,
37121,NC,Mitchell County,
37123,NC,Montgomery County,
37125,NC,Moore County,
37129,NC,New Hanover County,
37131,NC,Northampton County,
37133,NC,Onslow County,
37135,NC,Orange County,
37137,NC,Pamlico County,
37139,NC,Pasquotank County,
37141,NC,Pender County,
37143,NC,Perquimans County,
37145,NC,Person County,
37147,NC,Pitt County,
37149,NC,Polk County,
37151,NC,Randolph County,
37153,NC,Richmond County,
37155,NC,Robeson County,
37157,NC,Rockingham County,
37159,NC,Rowan County,
37161,NC,Rutherford County,
37163,NC,Sampson County,
37165,NC,Scotland County,
37167,NC,Stanly County,
37169,NC,Stokes County,
37171,NC,Surry County,
37173,NC,Swain County,
37175,NC,Transylvania County,
37177,NC,Tyrrell County,
37179,NC,Union County,
37181,NC,Vance County,
37183,NC,Wake County,
37185,NC,Warren County,
37187,NC,Washington County,
37189,NC,Watauga County,
37191,NC,Wayne County,
37193,NC,Wilkes County,
37195,NC,Wilson County,
37197,NC,Yadkin County,
37199,NC,Yancey County,
39001,OH,Adams County,
39003,OH,Allen County,
39005,OH,Ashland County,
39007,OH,Ashtabula County,
39009,OH,Athens County,
39011,OH,Auglaize County,
39015,OH,Brown County,
39017,OH,Butler County,
39019,OH,Carroll County,
39021,OH,Champaign County,
39023,OH,Clark County,
39025,OH,Clermont County,
39027,OH,Clinton County,
39029,OH,Columbiana County,
39031,OH,Coshocton County,
39033,OH,Crawford County,
39035,OH,Cuyahoga County,
39037,OH,Darke County,
39039,OH,Defiance County,
39041,OH,Delaware County,
39043,OH,Erie County,
39045,OH,Fairfield County,
39047,OH,Fayette County,
39049,OH,Franklin County,
39051,OH,Fulton County,
39053,OH,Gallia County,
39055,OH,Geauga County,
39057,OH,Greene County,
39059,OH,Guernsey County,
39061,OH,Hamilton County,
39063,OH,Hancock County,
39065,OH,Hardin County,
39067,OH,Harrison County,
39069,OH,Henry County,
39073,OH,Hocking County,
39075,OH,Holmes County,
39077,OH,Huron County,
39079,OH,Jackson County,
39081,OH,Jefferson County,
39083,OH,Knox County,
39085,OH,Lake County,
39087,OH,Lawrence County,
39089,OH,Licking County,
39091,OH,Logan County,
39093,OH,Lorain County,
39095,OH,Lucas County,
39097,OH,Madison County,
39099,OH,Mahoning County,
39101,OH,Marion County,
39103,OH,Medina County,
39105,OH,Meigs County,
39107,OH,Mercer County,
39109,OH,Miami County,
39113,OH,Montgomery County,
39115,OH,Morgan County,
39117,OH,Morrow County,
39119,OH,Muskingum County,
39121,OH,Noble County,
39123,OH,Ottawa County,
39125,OH,Paulding County,
39127,OH,Perry County,
39129,OH,Pickaway County,
39131,OH,Pike County,
39133,OH,Portage County,
39135,OH,Preble County,
39137,OH,Putnam County,
39139,OH,Richland County,
39141,OH,Ross County,
39143,OH,Sandusky County,
39145,OH,Scioto County,
39147,OH,Seneca County,
39149,OH,Shelby County,
39151,OH,Stark County,
39153,OH,Summit County,
39155,OH,Trumbull County,
39157,OH,Tuscarawas County,
39159,OH,Union County,
39161,OH,Van Wert County,
39163,OH,Vinton County,
39165,OH,Warren County,
39167,OH,Washington County,
39169,OH,Wayne County,
39171,OH,Williams County,
39173,OH,Wood County,
39175,OH,Wyandot County,
40043,OK,Dewey County,
41001,OR,Baker County,
41003,OR,Benton County,
41007,OR,Clatsop County,
41009,OR,Columbia County,
41011,OR,Coos County,
41013,OR,Crook County,
41015,OR,Curry County,
41019,OR,Douglas County,
41027,OR,Hood River County,
41033,OR,Josephine County,
41037,OR,Lake County,
41039,OR,Lane County,
41041,OR,Lincoln County,
41043,OR,Linn County,
41049,OR,Morrow County,
41063,OR,Wallowa County,
42101,PA,Philadelphia County,
44003,RI,Kent County,
44005,RI,Newport County,
44007,RI,Providence County,
44009,RI,Washington County,
45003,SC,Aiken County,
45007,SC,Anderson County,
45009,SC,Bamberg County,
45011,SC,Barnwell County,
45013,SC,Beaufort County,
45017,SC,Calhoun County,
45021,SC,Cherokee County,
45029,SC,Colleton County,
45051,SC,Horry County,
45053,SC,Jasper County,
45061,SC,Lee County,
45077,SC,Pickens County,
45079,SC,Richland County,
45081,SC,Saluda County,
47111,TN,Macon County,
48003,TX,Andrews County,
48027,TX,Bell County,
48031,TX,Blanco County,
48065,TX,Carson County,
48075,TX,Childress County,
48077,TX,Clay County,
48085,TX,Collin County,
48093,TX,Comanche County,
48099,TX,Coryell County,
48103,TX,Crane County,
48105,TX,Crockett County,
48111,TX,Dallam County,
48123,TX,DeWitt County,
48129,TX,Donley County,
48131,TX,Duval County,
48141,TX,El Paso County,
48145,TX,Falls County,
48155,TX,Foard County,
48157,TX,Fort Bend County,
48159,TX,Franklin County,
48163,TX,Frio County,
48167,TX,Galveston County,
48175,TX,Goliad County,
48191,TX,Hall County,
48193,TX,Hamilton County,
48201,TX,Harris County,
48205,TX,Hartley County,
48207,TX,Haskell County,
48225,TX,Houston County,
48237,TX,Jack County,
48249,TX,Jim Wells County,
48253,TX,Jones County,
48267,TX,Kimble County,
48277,TX,Lamar County,
48283,TX,La Salle County,
48297,TX,Live Oak County,
48307,TX,McCulloch County,
48313,TX,Madison County,
48315,TX,Marion County,
48317,TX,Martin County,
48319,TX,Mason County,
48327,TX,Menard County,
48333,TX,Mills County,
48351,TX,Newton County,
48353,TX,Nolan County,
48359,TX,Oldham County,
48369,TX,Parmer County,
48379,TX,Rains County,
48383,TX,Reagan County,
48387,TX,Red River County,
48395,TX,Robertson County,
48399,TX,Runnels County,
48403,TX,Sabine County,
48413,TX,Schleicher County,
48415,TX,Scurry County,
48417,TX,Shackelford County,
48421,TX,Sherman County,
48425,TX,Somervell County,
48429,TX,Stephens County,
48431,TX,Sterling County,
48433,TX,Stonewall County,
48435,TX,Sutton County,
48439,TX,Tarrant County,
48441,TX,Taylor County,
48453,TX,Travis County,
48457,TX,Tyler County,
48469,TX,Victoria County,
48475,TX,Ward County,
48483,TX,Wheeler County,
48495,TX,Winkler County,
48505,TX,Zapata County,
49001,UT,Beaver County,
49003,UT,Box Elder County,
49005,UT,Cache County,
49007,UT,Carbon County,
49011,UT,Davis County,
49015,UT,Emery County,
49017,UT,Garfield County,
49019,UT,Grand County,
49021,UT,Iron County,
49023,UT,Juab County,
49025,UT,Kane County,
49027,UT,Millard County,
49033,UT,Rich County,
49035,UT,Salt Lake County,
49039,UT,Sanpete County,
49043,UT,Summit County,
49045,UT,Tooele County,
49051,UT,Wasatch County,
49053,UT,Washington County,
50009,VT,Essex County,
50013,VT,Grand Isle County,
51001,VA,Accomack County,
51007,VA,Amelia County,
51009,VA,Amherst County,
51011,VA,Appomattox County,
51015,VA,Augusta County,
51017,VA,Bath County,
51019,VA,Bedford County,
51021,VA,Bland County,
51023,VA,Botetourt County,
51025,VA,Brunswick County,
51027,VA,Buchanan County,
51031,VA,Campbell County,
51033,VA,Caroline County,
51036,VA,Charles City County,
51037,VA,Charlotte County,
51041,VA,Chesterfield County,
51045,VA,Craig County,
51047,VA,Culpeper County,
51049,VA,Cumberland County,
51051,VA,Dickenson County,
51053,VA,Dinwiddie County,
51059,VA,Fairfax County,
51061,VA,Fauquier County,
51065,VA,Fluvanna County,
51069,VA,Frederick County,
51071,VA,Giles County,
51075,VA,Goochland County,
51077,VA,Grayson County,
51079,VA,Greene County,
51081,VA,Greensville County,
51083,VA,Halifax County,
51093,VA,Isle of Wight County,
51097,VA,King and Queen County,
51099,VA,King George County,
51101,VA,King William County,
51111,VA,Lunenburg County,
51113,VA,Madison County,
51115,VA,Mathews County,
51117,VA,Mecklenburg County,
51127,VA,New Kent County,
51131,VA,Northampton County,
51133,VA,Northumberland County,
51135,VA,Nottoway County,
51137,VA,Orange County,
51139,VA,Page County,
51145,VA,Powhatan County,
51147,VA,Prince Edward County,
51153,VA,Prince William County,
51155,VA,Pulaski County,
51157,VA,Rappahannock County,
51159,VA,Richmond County,
51163,VA,Rockbridge County,
51165,VA,Rockingham County,
51167,VA,Russell County,
51169,VA,Scott County,
51171,VA,Shenandoah County,
51173,VA,Smyth County,
51175,VA,Southampton County,
51177,VA,Spotsylvania County,
51179,VA,Stafford County,
51181,VA,Surry County,
51183,VA,Sussex County,
51185,VA,Tazewell County,
51191,VA,Washington County,
51193,VA,Westmoreland County,
51195,VA,Wise County,
51197,VA,Wythe County,
51550,VA,Chesapeake city,
51570,VA,Colonial Heights city,
51595,VA,Emporia city,
51620,VA,Franklin city,
51630,VA,Fredericksburg city,
51650,VA,Hampton city,
51670,VA,Hopewell city,
51680,VA,Lynchburg city,
51730,VA,Petersburg city,
51740,VA,Portsmouth city,
51750,VA,Radford city,
