metric,date,value
households threatened rate,1/1/2000,0.0267
judgment rate,1/1/2000,0.0149
filing rate,1/1/2000,0.0328
households threatened rate,1/1/2001,0.0376
judgment rate,1/1/2001,0.0193
filing rate,1/1/2001,0.0467
households threatened rate,1/1/2002,0.042
judgment rate,1/1/2002,0.0216
filing rate,1/1/2002,0.0536
households threatened rate,1/1/2003,0.0418
judgment rate,1/1/2003,0.0224
filing rate,1/1/2003,0.0523
households threatened rate,1/1/2004,0.044
judgment rate,1/1/2004,0.0237
filing rate,1/1/2004,0.0541
households threatened rate,1/1/2005,0.0458
judgment rate,1/1/2005,0.0236
filing rate,1/1/2005,0.0566
households threatened rate,1/1/2006,0.0478
judgment rate,1/1/2006,0.0255
filing rate,1/1/2006,0.0609
households threatened rate,1/1/2007,0.0429
judgment rate,1/1/2007,0.0248
filing rate,1/1/2007,0.0513
households threatened rate,1/1/2008,0.043
judgment rate,1/1/2008,0.0252
filing rate,1/1/2008,0.0531
households threatened rate,1/1/2009,0.0437
judgment rate,1/1/2009,0.0247
filing rate,1/1/2009,0.0537
households threatened rate,1/1/2010,0.0435
judgment rate,1/1/2010,0.0233
filing rate,1/1/2010,0.0551
households threatened rate,1/1/2011,0.0428
judgment rate,1/1/2011,0.0226
filing rate,1/1/2011,0.0549
households threatened rate,1/1/2012,0.042
judgment rate,1/1/2012,0.0224
filing rate,1/1/2012,0.0538
households threatened rate,1/1/2013,0.0402
judgment rate,1/1/2013,0.0208
filing rate,1/1/2013,0.0519
households threatened rate,1/1/2014,0.041
judgment rate,1/1/2014,0.0209
filing rate,1/1/2014,0.0534
households threatened rate,1/1/2015,0.0408
judgment rate,1/1/2015,0.0203
filing rate,1/1/2015,0.0529
households threatened rate,1/1/2016,0.0403
judgment rate,1/1/2016,0.0195
filing rate,1/1/2016,0.0523
households threatened rate,1/1/2017,0.0355
judgment rate,1/1/2017,0.0173
filing rate,1/1/2017,0.0449
households threatened rate,1/1/2018,0.0361
judgment rate,1/1/2018,0.0179
filing rate,1/1/2018,0.0461
