statename,place,type,zri_up_st
AK,anchorage,city,1.71968518738585
AK,homer,city,-0.0595216743633835
AK,kenai,city,-0.371575884164871
AK,palmer,city,-0.127390161056403
AK,petersburg,city,-0.874606109759869
AK,sitka,city,-0.690709746236881
AK,yakutat,borough,-1.67225237674795
AL,athens,city,-0.590557427539418
AL,auburn,city,0.377504634671251
AL,bessemer,city,-0.261222001576944
AL,birmingham,city,-0.570831306031754
AL,chickasaw,city,-0.413432500710338
AL,citronelle,city,-0.826660811457038
AL,clanton,city,-0.40930767689793
AL,decatur,city,-0.794317061544092
AL,dothan,city,0.0533342291513857
AL,enterprise,city,-0.167155181655937
AL,eufaula,city,-1.54696715934402
AL,fairhope,city,0.792884895190249
AL,foley,city,-0.914122975677495
AL,guntersville,city,1.18395224814749
AL,hartselle,city,-0.297843851836822
AL,huntsville,city,-0.837582793844814
AL,lincoln,city,-0.135095338959483
AL,madison,city,0.248238907724705
AL,mobile,city,-1.0353703014382
AL,monroeville,city,-1.24435978407125
AL,mountainbrook,city,-0.943161660154732
AL,opelika,city,-0.521986355615823
AL,opp,city,0.210806116100416
AL,prattville,city,-1.59537406009815
AL,rainbow,city,-1.19294839470843
AL,scottsboro,city,0.210806116100416
AL,southside,city,1.16946812888472
AL,talladega,city,-0.875500197832093
AL,trussville,city,-1.61233402965661
AL,valley,city,-1.41012721660989
AL,vestaviahills,city,0.375762849066164
AR,bentonville,city,0.707220982570961
AR,bryant,city,0.516822832759889
AR,cherokee,city,-0.625690332644422
AR,clarksville,city,0.194846215231602
AR,conway,city,-0.0124920757791165
AR,fayetteville,city,0.930678484138808
AR,forrest,city,-0.925641121390925
AR,greenwood,city,-2.51179363054079
AR,hotsprings,city,-0.449049145070995
AR,jacksonville,city,0.459267874365143
AR,malvern,city,-1.59416622723312
AR,northlittlerock,city,-0.637809585652259
AR,pinebluff,city,-0.40147051102076
AR,rogers,city,0.968231581266666
AR,siloamsprings,city,-0.995076990645307
AR,springdale,city,0.207970710168057
AR,trumann,city,0.156546124727738
AZ,apachejunction,city,0.21889648315083
AZ,avondale,city,1.542095974143
AZ,benson,city,-1.81036672242901
AZ,casagrande,city,1.04576702343093
AZ,cavecreek,town,0.0378937341911219
AZ,chinovalley,town,0.0338531937874944
AZ,cottonwood,city,0.472018288401768
AZ,douglas,city,0.402812962087999
AZ,eagar,town,0.587241040939459
AZ,elmirage,city,0.785342019360266
AZ,florence,town,-1.00468300712303
AZ,gilbert,town,0.238174885365427
AZ,glendale,city,0.77106692944924
AZ,goodyear,city,1.18025552099935
AZ,guadalupe,town,-1.17561424583281
AZ,holbrook,city,-0.882395635115341
AZ,kingman,city,0.164353291706867
AZ,lakehavasu,city,0.800014264773915
AZ,mesa,city,1.97953687114618
AZ,orovalley,town,1.01341424034228
AZ,peoria,city,1.15981991434148
AZ,phoenix,city,1.50363426194522
AZ,pinetoplakeside,town,-0.853446636820133
AZ,queencreek,town,0.588826708800166
AZ,sahuarita,town,0.761794375268192
AZ,sanluis,city,1.15254089114012
AZ,sedona,city,0.91285451529685
AZ,snowflake,town,0.312627080400044
