position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,S2 RESIDENTIAL FOR THE TREE HOUSE APARTMENTS,3500 UNIVERSITY BLVD N,110,0.357
2,2020-03-15,S2 RESIDENTIAL FOR SHORE HOUSE APTS,401 CENTURY 21ST DR,101,0.357
3,2020-03-15,S2 RESIDENTIAL FOR BOAT HOUSE APTS,400 CENTURY 21ST DR,101,0.357
4,2020-03-15,KINGS RIDGE APTS,2101 KINGS PARK DR,84,0.357
5,2020-03-15,PRINCETON MANAGEMENT FOR PRESERVE AT CEDAR RIVER,4301 CONFEDERATE POINT RD,76,0.357
6,2020-03-15,CAMELOT PROPERTY OWNER LLC,1591 LANE AVE S,74,0.357
7,2020-03-15,"PORTSIDE MHC, LLC",13838 SEA ANCHOR LN,73,0.357
8,2020-03-15,LARAMAR MANAGEMENT GROUP FOR GREGORY COVE,5601 EDENFIELD RD,67,0.357
9,2020-03-15,ALLEGIANT MANAGEMENT LLC FOR THE OAKS ON MONUMENT,401 MONUMENT RD,67,0.357
10,2020-03-15,PRINCETON MANAGEMENT FOR WATERS EDGE APTS,900 BROWARD RD,67,0.357
1,2021-07-11,LINK PROPERTY FOR RIVER CITY LANDING,2621 UNIVERSITY BLVD N,26,0.473
2,2021-07-11,AMERICAN MGMT FOR EDENS EDGE APTS,7101 WILSON BLVD,21,0.473
3,2021-07-11,CAMELOT PROPERTY OWNER LLC,1591 LANE AVE S,20,0.473
4,2021-07-11,KINGS TRAIL,3770 TOLEDO RD,19,0.473
5,2021-07-11,SAAR MANAGEMENT AS MANAGER FOR OAKS AT RED BAY APTS,7528 ARLINGTON EXPY,15,0.473
6,2021-07-11,LINK REAL ESTATE GROUP AS MANAGER FOR THE PARK AT POTTSBURG CREEK,4800 ATLANTIC BLVD,13,0.473
7,2021-07-11,ALLEGIANT MANAGMENT LLC AS MANAGER FOR THE OAKS ON MONUMENT,401 MONUMENT RD,13,0.473
8,2021-07-11,PRINCETON MGMT FOR WATERS EDGE APTS,800 BROWARD RD,13,0.473
9,2021-07-11,SOUTH OXFORD MGMT FOR THE PLACE AT CAPPER LANDING,10535 LEM TURNER RD,12,0.473
10,2021-07-11,THE PARK AT ALSTON,5170 COLLINS RD,12,0.473
