group,month,month_last_day,month_filings,avg_filings,month_diff,xfiledate
White,01/2023,,0,501,0,2023-01-01
White,02/2023,,0,382.666666666667,0,2023-02-01
White,03/2023,04/03/2023,0,40,0,2023-03-01
White,10/2022,,0,388,0,2022-10-01
White,11/2022,,0,392,0,2022-11-01
White,12/2022,,0,323.333333333333,0,2022-12-01
Black,01/2023,,0,159,0,2023-01-01
Black,02/2023,,0,131.666666666667,0,2023-02-01
Black,03/2023,04/03/2023,0,15.3333333333333,0,2023-03-01
Black,10/2022,,0,126,0,2022-10-01
Black,11/2022,,0,113.333333333333,0,2022-11-01
Black,12/2022,,0,67,0,2022-12-01
Other,01/2023,,0,389,0,2023-01-01
Other,02/2023,,0,284.333333333333,0,2023-02-01
Other,03/2023,04/03/2023,0,37,0,2023-03-01
Other,10/2022,,0,326.333333333333,0,2022-10-01
Other,11/2022,,0,292.333333333333,0,2022-11-01
Other,12/2022,,0,293.333333333333,0,2022-12-01
