position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
1,2023-03-01,2024-02-29,HICKORY VILLAGE APARTMENTS,4524 HICKORY RD,186,0.505,41.701225,-86.195155
2,2023-03-01,2024-02-29,CASTLE POINT APARTMENTS,2516 ROYAL VISTA TER,165,0.505,41.724963,-86.219263
3,2023-03-01,2024-02-29,IRISH HILLS APARTMENTS,4226 IRISH HILLS DR,101,0.505,41.634423,-86.208174
4,2023-03-01,2024-02-29,PROSPER SOUTH BEND,221 RUE RABELAIS,49,0.505,41.675166,-86.20467
5,2023-03-01,2024-02-29,INDIAN SPRINGS APARTMENTS,2707 LANCE CT,44,0.505,41.721318,-86.288274
6,2023-03-01,2024-02-29,WATERFORD SOUTH BEND LLC,1265 WOODFIELD AVE,43,0.505,41.692853,-86.205211
7,2023-03-01,2024-02-29,VILLAGE GREEN,1518 COBBLESTONE CIR S,39,0.505,41.644621,-86.153194
8,2023-03-01,2024-02-29,"EQUITY PROPERTY MANAGEMENT, LLC AT PIN OAK MANOR APARTMENTS",262 PIN OAK DR N,30,0.505,41.685302,-86.194886
9,2023-03-01,2024-02-29,CLEARWATER MHC,62430 LOCUST RD,28,0.505,41.587665,-86.279706
10,2023-03-01,2024-02-29,COUNTRYSIDE VILLAGE OF SOUTH BEND,1001 MAYFLOWER RD,28,0.505,41.659964,-86.328669
11,2023-03-01,2024-02-29,INDIAN SPRINGS APARTMENTS,2373 FLINT CT,28,0.505,41.718677,-86.284518
12,2023-03-01,2024-02-29,CEDAR GLEN APARTMENTS,422 S 25TH ST,24,0.505,41.67272,-86.211639
13,2023-03-01,2024-02-29,CEDAR GLEN APARTMENTS,411 S 26TH ST,23,0.505,41.672776,-86.210615
14,2023-03-01,2024-02-29,AUTUMN LAKES APARTMENTS,924 BROOK RUN DR,23,0.505,41.62614,-86.166852
15,2023-03-01,2024-02-29,MAR-MAIN APARTMENTS,125 W MARION ST,22,0.505,41.681985,-86.250614
16,2023-03-01,2024-02-29,"PREMIER WESTERN MANOR SOUTH BEND, LLC",4320 W WESTERN AVE,22,0.505,41.671714,-86.308071
17,2023-03-01,2024-02-29,"KARL KING HOLDINGS, LLC",515 E MONROE ST,19,0.505,41.671181,-86.244482
18,2023-03-01,2024-02-29,INDIAN LAKES APARTMENTS,5820 WINAMAC LAKE DR,18,0.505,41.714015,-86.17486
19,2023-03-01,2024-02-29,"VARIN PROPERTY MANAGEMENT, LLC",1591 D RIVERSIDE DR,17,0.505,41.695292,-86.263871
20,2023-03-01,2024-02-29,IRONWOOD VILLAGE APARTMENTS,1530 BLOSSOM DR,15,0.505,41.648276,-86.212684
21,2023-03-01,2024-02-29,PROSPER SOUTH BEND,301 N LEE CT,15,0.505,41.620129,-86.232335
22,2023-03-01,2024-02-29,INDIAN LAKES APARTMENTS,5519 OSAGE LAKE DR,15,0.505,41.711238,-86.176149
