position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,2021-10-30,RIVER OAKS APTS LTD PTRN,2545 N 83RD AVE,409,0.211
2,2020-03-15,2021-10-30,DEL MAR TERRACE APTS LLC,7007 W INDIAN SCHOOL RD,398,0.211
3,2020-03-15,2021-10-30,WWC LV II LP INC,2627 N 45TH AVE,252,0.211
4,2020-03-15,2021-10-30,"3030 NORTH EQUITY, LLC",5220 W NORTHERN AVE,215,0.211
5,2020-03-15,2021-10-30,WWC LVI LP,2222 W BEARDSLEY RD,215,0.211
6,2020-03-15,2021-10-30,CAVE CREEK APARTMENTS LLC,2529 W CACTUS RD,209,0.211
7,2020-03-15,2021-10-30,MESA RIDGE NSMM LLC,650 S COUNTRY CLUB DR,202,0.211
8,2020-03-15,2021-10-30,VASEO APARTMENTS LP,16220 N 7TH ST,198,0.211
9,2020-03-15,2021-10-30,5631 W COLTER ST LLC,5631 W COLTER ST,191,0.211
10,2020-03-15,2021-10-30,"ROC III AZ SARATOGA RIDGE LLC, MCDONNELL SARATOGA RIDGE LLC, BP SARATOGA RIDGE UT 4 LLC",1450 E BELL RD,179,0.211
1,2021-09-05,2021-10-30,RIVER OAKS APTS LTD PTRN,2545 N 83RD AVE,58,0.246
2,2021-09-05,2021-10-30,RESORT ON 27TH LLC,4227 N 27TH AVE,45,0.246
3,2021-09-05,2021-10-30,FRANKEL FAMILY TRUST,34000 N 27TH DR,38,0.246
4,2021-09-05,2021-10-30,DEL MAR TERRACE APTS LLC,7007 W INDIAN SCHOOL RD,37,0.246
5,2021-09-05,2021-10-30,FPA6 VALENCIA CROSSING LLC,111 N GILBERT RD,35,0.246
6,2021-09-05,2021-10-30,PASEO ON UNIVERSITY,1265 E UNIVERSITY DR,35,0.246
7,2021-09-05,2021-10-30,CAVE CREEK APARTMENTS LLC,2529 W CACTUS RD,34,0.246
8,2021-09-05,2021-10-30,ONNI REAL ESTATE LLC,8330 N 19TH AVE,34,0.246
9,2021-09-05,2021-10-30,FRANKEL FAMILY TRUST,7850 W MCDOWELL RD,33,0.246
10,2021-09-05,2021-10-30,DESERT STAR APARTMENTS,1106 W BELL RD,33,0.246
