position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
1,2024-09-01,2025-08-31,AMBERLY PLACE AT TAMPA PALMS,15401 PLANTATION OAKS DR,90,0.222,28.082294,-82.400098
2,2024-09-01,2025-08-31,ALLISTER TFL LLC,4939 E BUSCH BLVD,80,0.222,28.030376,-82.402801
3,2024-09-01,2025-08-31,THE PARK AT VALENZA,5606 SATINWOOD WAY,72,0.222,28.027152,-82.37722
4,2024-09-01,2025-08-31,BMF IV FL RADIUS PALMS LLC,14414 CARIBBEAN BREEZE DR,66,0.222,28.078258,-82.420883
5,2024-09-01,2025-08-31,SKYE RESERVE,1909 COCO MEADOW CIR,64,0.222,27.933681,-82.31626
6,2024-09-01,2025-08-31,RESERVE AT LAKE POINTE MO OWNER LLC,6028 LYNN LAKE DR S,64,0.222,27.71716,-82.667906
7,2024-09-01,2025-08-31,RIVIERA TFL LLC,5227 SONORA CT,62,0.222,28.027874,-82.398351
8,2024-09-01,2025-08-31,BELARA LAKES LLC,2106 2 LAKES RD,61,0.222,28.025602,-82.480672
9,2024-09-01,2025-08-31,JASMINE 319 LLC,1250 SKIPPER RD,58,0.222,28.08091,-82.446247
10,2024-09-01,2025-08-31,PALM RESIDENCES LLC,10610 N 30TH ST,57,0.222,28.046651,-82.42659
