position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,S2 RESIDENTIAL FOR THE TREE HOUSE APARTMENTS,3500 UNIVERSITY BLVD N,110,0.354
2,2020-03-15,S2 RESIDENTIAL FOR SHORE HOUSE APTS,401 CENTURY 21ST DR,101,0.354
3,2020-03-15,S2 RESIDENTIAL FOR BOAT HOUSE APTS,400 CENTURY 21ST DR,100,0.354
4,2020-03-15,KINGS RIDGE APTS,2101 KINGS PARK DR,84,0.354
5,2020-03-15,PRINCETON MANAGEMENT FOR PRESERVE AT CEDAR RIVER,4301 CONFEDERATE POINT RD,76,0.354
6,2020-03-15,"PORTSIDE MHC, LLC",13838 SEA ANCHOR LN,71,0.354
7,2020-03-15,LARAMAR MANAGEMENT GROUP FOR GREGORY COVE,5601 EDENFIELD RD,67,0.354
8,2020-03-15,SAN REMO,843 ALDERMAN RD,67,0.354
9,2020-03-15,CAMELOT PROPERTY OWNER LLC,1591 LANE AVE S,66,0.354
10,2020-03-15,PRINCETON MANAGEMENT FOR WATERS EDGE APTS,900 BROWARD RD,66,0.354
1,2021-07-04,LINK PROPERTY FOR RIVER CITY LANDING,2621 UNIVERSITY BLVD N,26,0.458
2,2021-07-04,EOS REAL ESTATE MANAGEMENT GROUP AS MANAGER FOR CREEKFRONT AT DEERWOOD,7632 SOUTHSIDE BLVD,18,0.458
3,2021-07-04,LINK REAL ESTATE GROUP AS MANAGER FOR THE PARK AT POTTSBURG CREEK,4800 ATLANTIC BLVD,18,0.458
4,2021-07-04,PRINCETON MANAGEMENT FOR WATERS EDGE APTS,800 BROWARD RD,16,0.458
5,2021-07-04,SAAR MANAGEMENT AS MANAGER FOR OAKS AT RED BAY APTS,7528 ARLINGTON EXPY,15,0.458
6,2021-07-04,OPTIVO GROUP FOR OASIS CLUB APTS,5800 UNIVERSITY BLVD,12,0.458
7,2021-07-04,CAMELOT PROPERTY OWNER LLC,1591 LANE AVE S,12,0.458
8,2021-07-04,KINGS TRAIL,3770 TOLEDO RD,12,0.458
9,2021-07-04,MARYLAND MANAGEMENT FOR CREEKSIDE PARK APTS.,5900 TOWNSEND RD,12,0.458
10,2021-07-04,LINK REAL ESTATE GROUP AS MANAGER FOR THE PARK AT SAN MARCO,2943 SPRING PARK RD,12,0.458
