position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
1,9/1/2023,8/31/2024,"AWE BELLA VISTA, LLC",11208 RUESTA DR,247,0.263,38.773845,-90.21724
2,9/1/2023,8/31/2024,MCG NORTHPOINTE LLC,14357 SEAVIEW DR,130,0.263,38.81295,-90.295736
3,9/1/2023,8/31/2024,TIMBERLAND STL LLC,5365 KNOLLWOOD PARKWAY CT,109,0.263,38.781614,-90.392217
4,9/1/2023,8/31/2024,ROCK ROSE CITY VIEW SPE LLC,110 N 17TH ST,107,0.263,38.62996,-90.204531
5,9/1/2023,8/31/2024,RENEW ON LINDBERGH,10315 TUXFORD DR,89,0.263,38.681319,-90.407908
6,9/1/2023,8/31/2024,BENNINGTON HEIGHTS APARTMENTS,12564 RENAULT CT,83,0.263,38.702508,-90.462814
7,9/1/2023,8/31/2024,SPANISH COVE TOWNHOMES BY PEPPER PIKE PROPERTY MGMT,11921 SAN REMO DR,82,0.263,38.790208,-90.219185
8,9/1/2023,8/31/2024,COLLINS TERRACE APARTMENTS,1207 N 7TH ST,79,0.263,38.636203,-90.188668
9,9/1/2023,8/31/2024,HAVEN ST LOUIS LLC,2023 RUNNINGRIDGE CT,78,0.263,38.713009,-90.469189
10,9/1/2023,8/31/2024,"WHISPERING LAKES APTS BY WHISPERING LAKES APT MGMT, LLC",4634 WHISPER LAKE DR,68,0.263,38.792873,-90.271568
11,9/1/2023,8/31/2024,"METRO 70 APARTMENTS LP, BY AGENT ODIN MANAGEMENT LLC",8852 DRAGONWYCK DR,62,0.263,38.718989,-90.319787
12,9/1/2023,8/31/2024,"ST. LOUIS LEASED HOUSING ASSOCIATES LIHTC V, L.L.L.P.",800 OLIVE ST,57,0.263,38.628202,-90.192971
13,9/1/2023,8/31/2024,ROCK ROSE CITY VIEW SPE LLC,1500 OLIVE ST,53,0.263,38.630113,-90.202108
14,9/1/2023,8/31/2024,PG WINDHAM CHASE LLC,12462 HORIZON VILLAGE DR,53,0.263,38.800949,-90.212413
15,9/1/2023,8/31/2024,275 ON THE PARK B/I/A ORO 275 CCCR LLC,249 UNION BLVD,52,0.263,38.646468,-90.275612
16,9/1/2023,8/31/2024,"PG SPRINGWOOD, LLC",9068 TORCHROW WALK,52,0.263,38.718069,-90.326312
17,9/1/2023,8/31/2024,"POLARIS M07, LLC",11816 STRAND DR,50,0.263,38.791438,-90.247266
18,9/1/2023,8/31/2024,"PAVILION APARTMENTS, LLC",12416 SUMMERHOUSE DR,50,0.263,38.701231,-90.459223
19,9/1/2023,8/31/2024,"FOREST PARK APARTMENTS, LP BY ODIN MANAGEMENT, LLC",5453 DELMAR BLVD,49,0.263,38.6534,-90.277871
20,9/1/2023,8/31/2024,"MIMG CCVI VICTORIAN VILLAGE, LLC",12021 CONTINENTAL DR,48,0.263,38.792187,-90.228357
21,9/1/2023,8/31/2024,HAMPTON GARDENS APT,3248 JANUARY AVE,48,0.263,38.603278,-90.286217
22,9/1/2023,8/31/2024,"DEAN SPEARS INVESTMENTS, LLC",374 S GRAND BLVD,47,0.263,38.631912,-90.233574
23,9/1/2023,8/31/2024,NICO TERRACE LP BY AGENT ODIN MANAGEMENT LLC,9959 HALLS FERRY RD,46,0.263,38.748424,-90.255054
24,9/1/2023,8/31/2024,PELICAN COVE APARTMENTS,512 PELICAN ISLAND DR,42,0.263,38.807581,-90.366463
25,9/1/2023,8/31/2024,LOFTS AT 1000,1000 WASHINGTON AVE,41,0.263,38.630972,-90.194493
26,9/1/2023,8/31/2024,GEORGETOWN APARTMENTS,842 DIEHNWELLS DR,40,0.263,38.574891,-90.338189
27,9/1/2023,8/31/2024,2974 COPPERCREEK ROAD LEASING LLC,9406 CANFIELD CT,40,0.263,38.738179,-90.272799
28,9/1/2023,8/31/2024,THE GROVES TOWNHOMES AND APARTMENTS,2910 SANTIAGO DR,38,0.263,38.803428,-90.299842
29,9/1/2023,8/31/2024,9TH AVENUE APARTMENTS LLC,1711 ANDROS CT,38,0.263,38.740217,-90.271012
30,9/1/2023,8/31/2024,RIVER TRACE LLC,11021 HUSON VALLEY DR,38,0.263,38.768371,-90.196345
31,9/1/2023,8/31/2024,PG WOODLANDS LLC,10022 SHEFFINGDELL CT,38,0.263,38.75174,-90.271421
32,9/1/2023,8/31/2024,ROCK ROSE CITY VIEW SPE LLC,111 N 15TH ST,37,0.263,38.629519,-90.202421
33,9/1/2023,8/31/2024,LEWIS & CLARK MO LLC,1059 VILLA ST CYR PL,37,0.263,38.734049,-90.229347
34,9/1/2023,8/31/2024,"MILLS CITYSIDE, LLC",717 COLE ST,37,0.263,38.634426,-90.189623
35,9/1/2023,8/31/2024,MIMG LXXXVI RIVER CHASE LLC,2374 SUCASA DR,37,0.263,38.805942,-90.362771
36,9/1/2023,8/31/2024,CORONADO PLACE AND TOWERS,3701 LINDELL BLVD,34,0.263,38.638435,-90.236686
37,9/1/2023,8/31/2024,9TH AVENUE APARTMENTS LLC,9514 CULEBRA DR,33,0.263,38.741277,-90.266333
38,9/1/2023,8/31/2024,FIELDPOINTE OF ST. LOUIS PROPERTY OWNER LLC,1972 OBERLIN DR,33,0.263,38.699282,-90.459412
39,9/1/2023,8/31/2024,"MILLS CITYSIDE, LLC",1015 COLE ST,33,0.263,38.634988,-90.192598
40,9/1/2023,8/31/2024,JENN STATION INVESTORS LLC,8880 MAYA LN,33,0.263,38.732272,-90.25838
