position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,S2 RESIDENTIAL FOR THE TREE HOUSE APARTMENTS,3500 UNIVERSITY BOULEVARD NORTH,110,0.358
2,2020-03-15,S2 RESIDENTIAL FOR SHORE HOUSE APTS,"401 CENTRUY 21 DRIVE, #F102",101,0.358
3,2020-03-15,S2 RESIDENTIAL FOR BOAT HOUSE APTS,400 CENTURY 21ST DR,101,0.358
4,2020-03-15,KINGS RIDGE APTS,"2101 KINGS PARK DRIVE, APT 3",84,0.358
5,2020-03-15,LARAMAR MANAGEMENT GROUP FOR GREGORY COVE,5601 EDENFIELD RD,80,0.358
6,2020-03-15,PRINCETON MANAGEMENT FOR PRESERVE AT CEDAR RIVER,"4301 CONFEDERATE POINT ROAD, APT 120",76,0.358
7,2020-03-15,CAMELOT PROPERTY OWNER LLC,1591 LANE AVE,74,0.358
8,2020-03-15,"PORTSIDE MHC, LLC",13838 SEA ANCHOR LN,73,0.358
9,2020-03-15,RED BAY APTS,7528 ARLINGTON EXPY,72,0.358
10,2020-03-15,PRINCETON MANAGEMENT FOR WATERS EDGE APTS,800 BROWARD RD,70,0.358
1,2021-07-18,CAMELOT PROPERTY OWNER LLC,1591 LANE AVE,20,0.461
2,2021-07-18,AMERICAN MGMT FOR EDENS EDGE APTS,7101 WILSON BLVD,17,0.461
3,2021-07-18,OAKS AT RED BAY APTS,7528 ARLINGTON EXPY,16,0.461
4,2021-07-18,LARAMAR MGMT GROUP FOR GREGORY COVE APTS,5601 EDENFIELD RD,13,0.461
5,2021-07-18,LINK REAL ESTATE GROUP AS MANAGER FOR THE PARK AT POTTSBURG CREEK,4800 ATLANTIC BLVD,13,0.461
6,2021-07-18,KINGS TRAIL,3770 TOLEDO RD,13,0.461
7,2021-07-18,EOS REAL ESTATE MGMT FOR CREEKFRONT AT DEERWOOD,7632 SOUTHSIDE BLVD,12,0.461
8,2021-07-18,THE PARK AT ALSTON,5170 COLLINS RD,12,0.461
9,2021-07-18,PRINCETON MGMT FOR WATERS EDGE APTS,800 BROWARD RD,12,0.461
10,2021-07-18,VOLARIS WEST KERNAN,12517 BEACH BLVD,11,0.461
