type,GEOID,racial_majority,week,week_date,filings_2020,filings_avg,filings_avg_prepandemic_baseline,last_updated
Census Tract,12057000101,Other,1,2019-12-29,0,1,0.5,2026-01-03
Census Tract,12057000101,Other,2,2020-01-05,1,0.5,2.25,2026-01-03
Census Tract,12057000101,Other,3,2020-01-12,2,1,1,2026-01-03
Census Tract,12057000101,Other,4,2020-01-19,0,2.5,2,2026-01-03
Census Tract,12057000101,Other,5,2020-01-26,3,3,2.25,2026-01-03
Census Tract,12057000101,Other,6,2020-02-02,0,2.5,0.75,2026-01-03
Census Tract,12057000101,Other,7,2020-02-09,1,2,1.25,2026-01-03
Census Tract,12057000101,Other,8,2020-02-16,0,0,0.75,2026-01-03
Census Tract,12057000101,Other,9,2020-02-23,2,0.5,1,2026-01-03
Census Tract,12057000101,Other,10,2020-03-01,0,1.5,1,2026-01-03
Census Tract,12057000101,Other,11,2020-03-08,0,2,1,2026-01-03
Census Tract,12057000101,Other,12,2020-03-15,3,0.5,2.25,2026-01-03
Census Tract,12057000101,Other,13,2020-03-22,3,0.5,0.5,2026-01-03
Census Tract,12057000101,Other,14,2020-03-29,0,1.5,0.75,2026-01-03
Census Tract,12057000101,Other,15,2020-04-05,0,1.5,1.25,2026-01-03
Census Tract,12057000101,Other,16,2020-04-12,0,2,1,2026-01-03
Census Tract,12057000101,Other,17,2020-04-19,0,1,2.5,2026-01-03
Census Tract,12057000101,Other,18,2020-04-26,0,1.5,0.75,2026-01-03
Census Tract,12057000101,Other,19,2020-05-03,0,0,0.5,2026-01-03
Census Tract,12057000101,Other,20,2020-05-10,0,1.5,1.25,2026-01-03
Census Tract,12057000101,Other,21,2020-05-17,0,1,4,2026-01-03
Census Tract,12057000101,Other,22,2020-05-24,0,1,2,2026-01-03
Census Tract,12057000101,Other,23,2020-05-31,0,1,0.75,2026-01-03
Census Tract,12057000101,Other,24,2020-06-07,3,2.5,0.25,2026-01-03
Census Tract,12057000101,Other,25,2020-06-14,0,0.5,1.75,2026-01-03
Census Tract,12057000101,Other,26,2020-06-21,0,1,2.75,2026-01-03
Census Tract,12057000101,Other,27,2020-06-28,0,2,0.75,2026-01-03
Census Tract,12057000101,Other,28,2020-07-05,0,1,0.75,2026-01-03
Census Tract,12057000101,Other,29,2020-07-12,0,1,3.25,2026-01-03
Census Tract,12057000101,Other,30,2020-07-19,0,2.5,2,2026-01-03
Census Tract,12057000101,Other,31,2020-07-26,0,0.5,0.5,2026-01-03
Census Tract,12057000101,Other,32,2020-08-02,0,1.5,1,2026-01-03
Census Tract,12057000101,Other,33,2020-08-09,1,1,2,2026-01-03
Census Tract,12057000101,Other,34,2020-08-16,0,2,1,2026-01-03
Census Tract,12057000101,Other,35,2020-08-23,0,0.5,1.75,2026-01-03
Census Tract,12057000101,Other,36,2020-08-30,1,1,0,2026-01-03
Census Tract,12057000101,Other,37,2020-09-06,0,0.5,1,2026-01-03
Census Tract,12057000101,Other,38,2020-09-13,0,1,1.5,2026-01-03
Census Tract,12057000101,Other,39,2020-09-20,0,0,1.5,2026-01-03
Census Tract,12057000101,Other,40,2020-09-27,0,1.5,1,2026-01-03
Census Tract,12057000101,Other,41,2020-10-04,1,0,0.25,2026-01-03
Census Tract,12057000101,Other,42,2020-10-11,0,0.5,1.5,2026-01-03
Census Tract,12057000101,Other,43,2020-10-18,0,3.5,2.5,2026-01-03
Census Tract,12057000101,Other,44,2020-10-25,1,1,0.5,2026-01-03
Census Tract,12057000101,Other,45,2020-11-01,0,1,0.5,2026-01-03
Census Tract,12057000101,Other,46,2020-11-08,1,3,1,2026-01-03
Census Tract,12057000101,Other,47,2020-11-15,2,0.5,2.75,2026-01-03
Census Tract,12057000101,Other,48,2020-11-22,0,0.5,1,2026-01-03
Census Tract,12057000101,Other,49,2020-11-29,0,0.5,1.25,2026-01-03
Census Tract,12057000101,Other,50,2020-12-06,0,3,1.5,2026-01-03
Census Tract,12057000101,Other,51,2020-12-13,2,0.5,1.25,2026-01-03
Census Tract,12057000101,Other,52,2020-12-20,2,1,2.75,2026-01-03
Census Tract,12057000101,Other,53,2020-12-27,1,1,2.75,2026-01-03
Census Tract,12057000101,Other,54,2021-01-03,0,1,1.75,2026-01-03
Census Tract,12057000101,Other,55,2021-01-10,4,1.5,1.5,2026-01-03
Census Tract,12057000101,Other,56,2021-01-17,2,1.5,2.25,2026-01-03
Census Tract,12057000101,Other,57,2021-01-24,1,2.5,2,2026-01-03
Census Tract,12057000101,Other,58,2021-01-31,0,2.5,0.75,2026-01-03
Census Tract,12057000101,Other,59,2021-02-07,1,2.5,1.75,2026-01-03
Census Tract,12057000101,Other,60,2021-02-14,1,1,0.5,2026-01-03
Census Tract,12057000101,Other,61,2021-02-21,1,0,1,2026-01-03
Census Tract,12057000101,Other,62,2021-02-28,0,1.5,1.25,2026-01-03
Census Tract,12057000101,Other,63,2021-03-07,1,2.5,0.5,2026-01-03
Census Tract,12057000101,Other,64,2021-03-14,1,0.5,2.75,2026-01-03
Census Tract,12057000101,Other,65,2021-03-21,0,0,0.5,2026-01-03
Census Tract,12057000101,Other,66,2021-03-28,0,2,0.5,2026-01-03
Census Tract,12057000101,Other,67,2021-04-04,1,1.5,1,2026-01-03
