position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,2022-06-18,LINK REAL ESTATE GROUP LLC,4619 REFUGEE RD,454,0.292
2,2020-03-15,2022-06-18,LATITUDE 25 LLC,529 SAWYER BLVD,342,0.292
3,2020-03-15,2022-06-18,5812 INVESTMENT GROUP LLC,1178 FOUNTAIN LN,248,0.292
4,2020-03-15,2022-06-18,LINK REAL ESTATE GROUP LLC,2361 SHORE BLVD E,212,0.292
5,2020-03-15,2022-06-18,5812 INVESTMENT GROUP LLC,2093 LAKE CLUB DR,184,0.292
6,2020-03-15,2022-06-18,RG TOWNHOMES LLC,628 E FRANSHIRE,180,0.292
7,2020-03-15,2022-06-18,5812 INVESTMENT GROUP LLC,2106 COMMONS RD S,177,0.292
8,2020-03-15,2022-06-18,MONARCH INVESTMENT GROUP,1800 FOREST WILLOW CT,163,0.292
9,2020-03-15,2022-06-18,5812 INVESTMENT GROUP LLC,148 PARKLAWN BLVD,158,0.292
10,2020-03-15,2022-06-18,LINK REAL ESTATE GROUP LLC,665 E MORRILL AVE,156,0.292
1,2022-04-24,2022-06-18,LINK REAL ESTATE GROUP LLC,4617 REFUGEE RD,48,0.346
2,2022-04-24,2022-06-18,5812 INVESTMENT GROUP LLC,1285 FOUNTAIN LN,28,0.346
3,2022-04-24,2022-06-18,4592 CHANNING TERRACE COLUMBUS LLC,2881 TENNYSON BLVD,23,0.346
4,2022-04-24,2022-06-18,PAXE LATITUDE LP,521 SAWYER BLVD,22,0.346
5,2022-04-24,2022-06-18,5812 INVESTMENT GROUP LLC,2001 CHALFIELD CT,21,0.346
6,2022-04-24,2022-06-18,5812 INVESTMENT GROUP LLC,1946 FOUNTAINVIEW CT,20,0.346
7,2022-04-24,2022-06-18,5812 INVESTMENT GROUP LLC,124 PARKLAWN BLVD,17,0.346
8,2022-04-24,2022-06-18,TOWNE PROPERTIES ASSET MANAGEMENT CO LTD,2000 WINSLOW DR,15,0.346
9,2022-04-24,2022-06-18,LINK REAL ESTATE GROUP LLC,2361 SHORE BLVD E,15,0.346
10,2022-04-24,2022-06-18,HAVEN RESIDENTIAL,1555 SPRUCE DR,15,0.346
