position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
1,2025-02-01,2026-01-31,COPPER WAY APARTMENTS LLC,19422 MOUNTAIN HWY E,40,0.39,47.080146,-122.432415
2,2025-02-01,2026-01-31,HZ LAKESIDE LANDING LLC,7038 S 12TH ST,29,0.39,47.248094,-122.530053
3,2025-02-01,2026-01-31,TERRA HEIGHTS APTS LLC,2325 S 96TH ST,28,0.39,47.170767,-122.466503
4,2025-02-01,2026-01-31,GATEWAY BY VINTAGE LP,20002 MOUNTAIN HWY E,25,0.39,47.07491,-122.425632
5,2025-02-01,2026-01-31,MORNINGTREE PARK LLC,8101 83RD AVE SW,24,0.39,47.183561,-122.546344
6,2025-02-01,2026-01-31,TA PEARL FEE OWNER LLC,1202 N PEARL ST,24,0.39,47.261143,-122.516551
7,2025-02-01,2026-01-31,416 11TH ST CT E OWNER LLC,11007 4 AVE CT E,22,0.39,47.156645,-122.425225
8,2025-02-01,2026-01-31,CR WOODMARK COMMUNITIES LLC,2406 96TH ST S,22,0.39,47.168494,-122.468878
9,2025-02-01,2026-01-31,KW LAKELAND LLC,5940 TERRACE VIEW LN SE,21,0.39,47.2549,-122.225651
10,2025-02-01,2026-01-31,GRE WAVERLY LLC,9314 S ASH ST,21,0.39,47.172119,-122.462179
11,2025-02-01,2026-01-31,CR WOODMARK COMMUNITIES LLC,2417 96TH ST S,21,0.39,47.170642,-122.4687
12,2025-02-01,2026-01-31,NORTH PEARL STREET,934 N PEARL ST,20,0.39,47.26015,-122.519823
13,2025-02-01,2026-01-31,ORION - TACOMA LLC,29 ST HELENS AVE,20,0.39,47.263361,-122.446283
14,2025-02-01,2026-01-31,TACOMA 134 LLC,7414 S HOSMER ST,19,0.39,47.190118,-122.460935
15,2025-02-01,2026-01-31,VBT SCENIC PINES LLC,5102 S 58TH ST,19,0.39,47.202879,-122.505398
16,2025-02-01,2026-01-31,FAIRWAYS TIC MANAGER LLC,4602 45TH AVE NE,19,0.39,47.29598,-122.388128
17,2025-02-01,2026-01-31,KW TACOMA APARTMENTS LLC,2424 S 41ST ST,18,0.39,47.220117,-122.469147
18,2025-02-01,2026-01-31,HOSMER IPM LLC & HOSMER STREET IPM LLC,8726 S HOSMER ST,17,0.39,47.176998,-122.463724
19,2025-02-01,2026-01-31,ORO ALTITUDE OWNER LLC,1905 104TH ST S,17,0.39,47.163501,-122.462301
20,2025-02-01,2026-01-31,KW FIFE LLC,2169 62ND AVE E,17,0.39,47.236925,-122.345473
21,2025-02-01,2026-01-31,HOUSING HILLTOP LLLP,1011 S L ST,16,0.39,47.252701,-122.452763
22,2025-02-01,2026-01-31,HOUSING LOFTS HILLTOP LLC,1111 S L ST,16,0.39,47.251678,-122.452925
23,2025-02-01,2026-01-31,ONE CANYON PLACE,11702 57TH AVE E,16,0.39,47.149913,-122.352869
24,2025-02-01,2026-01-31,ALTA APARTMENTS LLC,9912 24TH AVENUE CT S,15,0.39,47.167434,-122.468592
