position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,WESTBROOK VILLAGE MHP LLC,5896 RAINBOW HILL DR,147,0.268
2,2020-03-15,CINCINNATI 101 OH LLC,2964 HIGHFOREST LN,118,0.268
3,2020-03-15,WILLIAMSBURG OF CINTI APTS,1408 GOVERNOR TER,104,0.268
4,2020-03-15,WILLIAMSBURG OF CINTI APTS,4205 WILLIAMSBURG RD,86,0.268
5,2020-03-15,WILLIAMSBURG OF CINTI APTS,7901 CONSTITUTION DR,86,0.268
6,2020-03-15,JK FORESTVIEW LLC,1500 GROESBECK RD,66,0.268
7,2020-03-15,CINCINNATI PORTFOLIO RLTY LLC,3177 FERNCREST CT,64,0.268
8,2020-03-15,ZINGENUITY NORTH CREEK LLC,1566 W GALBRAITH RD,61,0.268
9,2020-03-15,UPTOWN COMMUNITY PARTNERS,400 W 9TH ST,59,0.268
10,2020-03-15,MIAMI VIEW MHP LLC,8773 BUTTERNUT CT,58,0.268
1,2021-07-11,CINCINNATI 101 OH LLC,2964 HIGHFOREST LN,26,0.31
2,2021-07-11,WESTBROOK VILLAGE MHP LLC,5904 ISLAND DR,24,0.31
3,2021-07-11,ROYAL SENTRY LLC,2850 HARRISON AVE,17,0.31
4,2021-07-11,WEST COURT VIEW BUILDING LLC,7 W COURT ST,12,0.31
5,2021-07-11,BURGUNDY COURT II LLC,3217 NANDALE DR,12,0.31
6,2021-07-11,JK FORESTVIEW LLC,1500 GROESBECK RD,11,0.31
7,2021-07-11,MONARCH INVEST & MGMT GRP LLC,12121 SYCAMORE TERRACE DR,11,0.31
8,2021-07-11,ROSEMONT HILLS LLC,819 ROSEMONT AVE,11,0.31
9,2021-07-11,GLENWOOD HOUSING PARTNERS LLC,1259 SPRING PARK WALK,10,0.31
10,2021-07-11,MILLS RUN APARTMENTS,11755 NORBOURNE DR,10,0.31
