position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,THE REDFORD,1401 REDFORD ST,215,0.184
2,2020-03-15,CIRCLE AT POINT PARK,8727 POINT PARK DR,172,0.184
3,2020-03-15,BISCAYNE AT CITYVIEW,17030 IMPERIAL VALLEY DR,137,0.184
4,2020-03-15,WREF OXFORD LP,6121 WINSOME LN,132,0.184
5,2020-03-15,WESLEY GARDENS,8800 GUSTINE LN,126,0.184
6,2020-03-15,THE MILO ON WESTHEIMER,13250 WESTHEIMER RD,122,0.184
7,2020-03-15,GPI WEST OAKS II LP,15250 GRAY RIDGE DR,118,0.184
8,2020-03-15,BRECKENRIDGE AT CITYVIEW,555 SEMINAR DR,117,0.184
9,2020-03-15,GATEWAY AT ELLINGTON,15603 GULF FWY,115,0.184
10,2020-03-15,CARRIAGE PLACE,505 WELLS FARGO DR,115,0.184
1,2021-07-18,CASA VERDE,1 GOODSON DR,45,0.245
2,2021-07-18,CIRCLE AT POINT PARK,8727 POINT PARK DR,41,0.245
3,2021-07-18,NOB HILL,5500 N BRAESWOOD BLVD,38,0.245
4,2021-07-18,MCG SAPPHIRE LLC,2002 SAN SEBASTIAN CT,30,0.245
5,2021-07-18,LENOX PARK APARTMENTS,12601 S GREEN DR,29,0.245
6,2021-07-18,S2 BROMPTON COURT LP,7490 BROMPTON RD,27,0.245
7,2021-07-18,MCG ELEMENT LLC,400 GREENS RD,25,0.245
8,2021-07-18,PINE TERRACE APARTMENTS,3901 OMEARA DR,22,0.245
9,2021-07-18,BURKHARDT INVESTMENT GROUP LLC,10110 FORUM PARK DR,21,0.245
10,2021-07-18,ESTATES AT HOLLISTER,7740 W LITTLE YORK RD,20,0.245
