type,GEOID,racial_majority,week,week_date,filings_2020,filings_avg,filings_avg_prepandemic_baseline,last_updated
Census Tract,53053060200,Other,1,2019-12-29,0,0,0,2026-05-16
Census Tract,53053060200,Other,2,2020-01-05,0,0,0,2026-05-16
Census Tract,53053060200,Other,3,2020-01-12,0,0,0,2026-05-16
Census Tract,53053060200,Other,4,2020-01-19,0,0,0,2026-05-16
Census Tract,53053060200,Other,5,2020-01-26,0,0,0,2026-05-16
Census Tract,53053060200,Other,6,2020-02-02,0,0,0.333,2026-05-16
Census Tract,53053060200,Other,7,2020-02-09,0,0,0,2026-05-16
Census Tract,53053060200,Other,8,2020-02-16,0,0,0,2026-05-16
Census Tract,53053060200,Other,9,2020-02-23,0,0,0,2026-05-16
Census Tract,53053060200,Other,10,2020-03-01,0,0,0,2026-05-16
Census Tract,53053060200,Other,11,2020-03-08,0,0,0,2026-05-16
Census Tract,53053060200,Other,12,2020-03-15,0,0,0,2026-05-16
Census Tract,53053060200,Other,13,2020-03-22,0,0.5,0,2026-05-16
Census Tract,53053060200,Other,14,2020-03-29,0,0,0,2026-05-16
Census Tract,53053060200,Other,15,2020-04-05,0,0.5,0,2026-05-16
Census Tract,53053060200,Other,16,2020-04-12,0,0,0,2026-05-16
Census Tract,53053060200,Other,17,2020-04-19,0,0.5,0,2026-05-16
Census Tract,53053060200,Other,18,2020-04-26,0,0.5,0,2026-05-16
Census Tract,53053060200,Other,19,2020-05-03,0,0,0,2026-05-16
Census Tract,53053060200,Other,20,2020-05-10,0,0,0,2026-05-16
Census Tract,53053060200,Other,21,2020-05-17,0,0.5,0,2026-05-16
Census Tract,53053060200,Other,22,2020-05-24,0,0,0,2026-05-16
Census Tract,53053060200,Other,23,2020-05-31,0,0,0.333,2026-05-16
Census Tract,53053060200,Other,24,2020-06-07,0,0.5,0,2026-05-16
Census Tract,53053060200,Other,25,2020-06-14,0,0,0,2026-05-16
Census Tract,53053060200,Other,26,2020-06-21,0,0,0,2026-05-16
Census Tract,53053060200,Other,27,2020-06-28,0,0,0.333,2026-05-16
