group,month,month_last_day,month_filings,avg_filings,month_diff
White,03/2022,,180,118.333333333333,1.52112676056338
White,04/2022,,224,100.666666666667,2.22516556291391
White,05/2022,,194,136.333333333333,1.42298288508557
White,06/2022,,185,137.333333333333,1.34708737864078
White,07/2022,,203,154.333333333333,1.31533477321814
White,08/2022,06/08/2022,32,29,1.10344827586207
Black,03/2022,,114,68,1.67647058823529
Black,04/2022,,94,65,1.44615384615385
Black,05/2022,,78,70.3333333333333,1.10900473933649
Black,06/2022,,107,83.3333333333333,1.284
Black,07/2022,,74,86.3333333333333,0.857142857142857
Black,08/2022,06/08/2022,13,23.3333333333333,0.557142857142857
Latinx,03/2022,,189,127.666666666667,1.48041775456919
Latinx,04/2022,,183,111.666666666667,1.63880597014925
Latinx,05/2022,,175,153.666666666667,1.13882863340564
Latinx,06/2022,,194,168.666666666667,1.1501976284585
Latinx,07/2022,,164,176,0.931818181818182
Latinx,08/2022,06/08/2022,39,37.3333333333333,1.04464285714286
Other,03/2022,,230,113.666666666667,2.02346041055718
Other,04/2022,,192,112.666666666667,1.70414201183432
Other,05/2022,,174,115.333333333333,1.50867052023121
Other,06/2022,,189,121.333333333333,1.55769230769231
Other,07/2022,,115,140.666666666667,0.817535545023697
Other,08/2022,06/08/2022,21,40,0.525
