position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,WESTBROOK VILLAGE MHP LLC,5896 RAINBOW HILL DR,138,0.268
2,2020-03-15,WILLIAMSBURG OF CINTI APTS,1408 GOVERNOR TER,104,0.268
3,2020-03-15,CINCINNATI 101 OH LLC,2964 HIGHFOREST LN,103,0.268
4,2020-03-15,WILLIAMSBURG OF CINTI APTS,4205 WILLIAMSBURG RD,86,0.268
5,2020-03-15,WILLIAMSBURG OF CINTI APTS,7901 CONSTITUTION DR,86,0.268
6,2020-03-15,JK FORESTVIEW LLC,1500 GROESBECK RD,66,0.268
7,2020-03-15,UPTOWN COMMUNITY PARTNERS,400 W 9TH ST,59,0.268
8,2020-03-15,ZINGENUITY NORTH CREEK LLC,1566 W GALBRAITH RD,58,0.268
9,2020-03-15,MIAMI VIEW MHP LLC,8789 BOXELDER CT,57,0.268
10,2020-03-15,CINCINNATI PORTFOLIO RLTY LLC,3177 FERNCREST CT,57,0.268
1,2021-06-27,WESTBROOK VILLAGE MHP LLC,5809 ISLAND DR,15,0.296
2,2021-06-27,WEST COURT VIEW BUILDING LLC,7 W COURT ST,12,0.296
3,2021-06-27,JK FORESTVIEW LLC,1500 GROESBECK RD,11,0.296
4,2021-06-27,BURGUNDY COURT II LLC,3217 NANDALE DR,11,0.296
5,2021-06-27,CINCINNATI 101 OH LLC,2964 HIGHFOREST LN,11,0.296
6,2021-06-27,MONARCH INVEST & MGMT GRP LLC,12121 SYCAMORE TERRACE DR,10,0.296
7,2021-06-27,MIAMIVIEW APARTMENTS CO LLC,8201 W MILL ST,9,0.296
8,2021-06-27,ROYAL SENTRY LLC,2840 HARRISON AVE,9,0.296
9,2021-06-27,BROOK APARTMENT BLDGS-CINT LLC,8356 ANTHONY WAYNE AVE,8,0.296
10,2021-06-27,AVENTURA APARTMENTS LLC,4467 COLERAIN AVE,8,0.296
