"","cbsaname","before","after","sub_shift","direction","row","city","states","state","metro","metro_fact","highlighted"
"1","El Paso, TX (Metro)",0.0727020967559815,0.107903538475271,-0.0352014417192894,"more suburban",1,"El Paso"," TX ","TX","El Paso, TX","El Paso, TX","false"
"2","Tallahassee, FL (Metro)",0.0912155321587166,0.123858749309216,-0.0326432171504991,"more suburban",2,"Tallahassee"," FL ","FL","Tallahassee, FL","Tallahassee, FL","false"
"3","Montgomery, AL (Metro)",0.10498887386802,0.129697227019242,-0.0247083531512221,"more suburban",3,"Montgomery"," AL ","AL","Montgomery, AL","Montgomery, AL","false"
"4","Durham-Chapel Hill, NC (Metro)",0.106875895304335,0.192447990044571,-0.0855720947402362,"more suburban",4,"Durham"," NC ","NC","Durham, NC","Durham, NC","false"
"15","Bridgeport-Stamford-Norwalk, CT (Metro)",0.247774698754537,0.281641950491992,-0.0338672517374543,"more suburban",15,"Bridgeport"," CT ","CT","Bridgeport, CT","Bridgeport, CT","false"
"16","Huntsville, AL (Metro)",0.252101858905297,0.275475013113628,-0.0233731542083311,"more suburban",16,"Huntsville"," AL ","AL","Huntsville, AL","Huntsville, AL","false"
"17","Phoenix-Mesa-Scottsdale, AZ (Metro)",0.253449121016461,0.339604090571579,-0.0861549695551178,"more suburban",17,"Phoenix"," AZ ","AZ","Phoenix, AZ","Phoenix, AZ","false"
"23","Des Moines-West Des Moines, IA (Metro)",0.302410070358022,0.227370096817783,0.0750399735402387,"more urban",23,"Des Moines"," IA ","IA","Des Moines, IA","Des Moines, IA","false"
"24","Virginia Beach-Norfolk-Newport News, VA-NC (Metro)",0.305882424662862,0.395564617774421,-0.0896821931115594,"more suburban",24,"Virginia Beach"," VA-NC ","VA","Virginia Beach, VA","Virginia Beach, VA","false"
"25","Gainesville, FL (Metro)",0.312236329716002,0.36234797151069,-0.0501116417946887,"more suburban",25,"Gainesville"," FL ","FL","Gainesville, FL","Gainesville, FL","false"
"33","Raleigh, NC (Metro)",0.374845769877397,0.424606020268968,-0.0497602503915706,"more suburban",33,"Raleigh"," NC ","NC","Raleigh, NC","Raleigh, NC","false"
"37","Salem, OR (Metro)",0.420589062969348,0.477060030199873,-0.0564709672305246,"more suburban",37,"Salem"," OR ","OR","Salem, OR","Salem, OR","false"
"38","Appleton, WI (Metro)",0.431149575130696,0.447324253906513,-0.0161746787758166,"more suburban",38,"Appleton"," WI ","WI","Appleton, WI","Appleton, WI","false"
"39","Cleveland-Elyria, OH (Metro)",0.433657094618116,0.553555364768128,-0.119898270150012,"more suburban",39,"Cleveland"," OH ","OH","Cleveland, OH","Cleveland, OH","true"
"40","Madison, WI (Metro)",0.448177404788038,0.479800500192079,-0.0316230954040413,"more suburban",40,"Madison"," WI ","WI","Madison, WI","Madison, WI","false"
"41","Springfield, MA (Metro)",0.463848235938951,0.506696112755625,-0.0428478768166741,"more suburban",41,"Springfield"," MA ","MA","Springfield, MA","Springfield, MA","false"
"42","Lancaster, PA (Metro)",0.499826267375607,0.588925737732632,-0.0890994703570249,"more suburban",42,"Lancaster"," PA ","PA","Lancaster, PA","Lancaster, PA","false"
"50","Richmond, VA (Metro)",0.554121145216789,0.596067381062929,-0.0419462358461401,"more suburban",50,"Richmond"," VA ","VA","Richmond, VA","Richmond, VA","false"
"51","Cincinnati, OH-KY-IN (Metro)",0.562630549701646,0.572744283726452,-0.0101137340248061,"more suburban",51,"Cincinnati"," OH-KY-IN ","OH","Cincinnati, OH","Cincinnati, OH","false"
"52","Ogden-Clearfield, UT (Metro)",0.569154438839373,0.663153098322354,-0.0939986594829811,"more suburban",52,"Ogden"," UT ","UT","Ogden, UT","Ogden, UT","false"
"53","Asheville, NC (Metro)",0.573235549049651,0.649116213908484,-0.0758806648588325,"more suburban",53,"Asheville"," NC ","NC","Asheville, NC","Asheville, NC","false"
"54","Hartford-West Hartford-East Hartford, CT (Metro)",0.581560865679056,0.588303516009999,-0.0067426503309429,"more suburban",54,"Hartford"," CT ","CT","Hartford, CT","Hartford, CT","false"
"59","St. Louis, MO-IL (Metro)",0.638249117566259,0.693708571404084,-0.0554594538378246,"more suburban",59,"St. Louis"," MO-IL ","MO","St. Louis, MO","St. Louis, MO","false"
"70","Boulder, CO (Metro)",0.737707462758904,0.753862907744773,-0.0161554449858687,"more suburban",70,"Boulder"," CO ","CO","Boulder, CO","Boulder, CO","false"
"71","Barnstable Town, MA (Metro)",0.77275839371516,0.681478431608669,0.0912799621064909,"more urban",71,"Barnstable Town"," MA ","MA","Barnstable Town, MA","Barnstable Town, MA","false"
"72","Salt Lake City, UT (Metro)",0.788893318822493,0.788545766180037,0.000347552642456228,"more urban",72,"Salt Lake City"," UT ","UT","Salt Lake City, UT","Salt Lake City, UT","false"
"74","Pensacola-Ferry Pass-Brent, FL (Metro)",0.837512762273584,0.844312154922313,-0.00679939264872942,"more suburban",74,"Pensacola"," FL ","FL","Pensacola, FL","Pensacola, FL","false"
