group,month,month_last_day,month_filings,avg_filings,month_diff,month_filings_imputed
White,04/2022,,114,183.666666666667,0.620689655172414,0.620689655172414
White,05/2022,,143,182.666666666667,0.782846715328467,0.782846715328467
White,06/2022,,135,211.333333333333,0.638801261829653,0.638801261829653
White,07/2022,,143,210.666666666667,0.67879746835443,0.67879746835443
White,08/2022,,157,209.666666666667,0.748807631160572,0.748807631160572
White,09/2022,10/09/2022,18,32.3333333333333,0.556701030927835,0.246701030927835
Latinx,04/2022,,236,309.333333333333,0.762931034482759,0.762931034482759
Latinx,05/2022,,266,356,0.747191011235955,0.747191011235955
Latinx,06/2022,,261,369.333333333333,0.706678700361011,0.706678700361011
Latinx,07/2022,,287,417.333333333333,0.687699680511182,0.687699680511182
Latinx,08/2022,,240,408.666666666667,0.587275693311582,0.587275693311582
Latinx,09/2022,10/09/2022,54,40.3333333333333,1.384297520661,0.42884297520661
Other,04/2022,,174,311.666666666667,0.558288770053476,0.558288770053476
Other,05/2022,,214,332.333333333333,0.643931795386159,0.643931795386159
Other,06/2022,,216,357.333333333333,0.604477611940299,0.604477611940299
Other,07/2022,,241,361.333333333333,0.666974169741697,0.666974169741697
Other,08/2022,,360,398,0.904522613065327,0.904522613065327
Other,09/2022,10/09/2022,23,55.3333333333333,0.41566265060241,0.59566265060241
Black,04/2022,,174,311.666666666667,0.558288770053476,0.8288770053476
Black,05/2022,,214,332.333333333333,0.643931795386159,0.3931795386159
Black,06/2022,,216,357.333333333333,0.604477611940299,0.4477611940299
Black,07/2022,,241,361.333333333333,0.666974169741697,0.6974169741697
Black,08/2022,,360,398,0.904522613065327,0.4522613065327
Black,09/2022,10/09/2022,23,55.3333333333333,0.41566265060241,0.316265060241
