group,month,month_last_day,month_filings,avg_filings,month_diff,month_filings_imputed
White,04/2022,,587,566.75,1.03573004,500
White,05/2022,,632,688.5,0.917937545,500
White,06/2022,,733,696.25,1.052782765,500
White,07/2022,,659,727,0.906464924,500
White,08/2022,,863,794.5,1.086217747,500
White,09/2022,10/9/2022,179,126.75,1.412228797,500
Black,04/2022,,133,180.75,0.73582296,500
Black,05/2022,,155,202.5,0.765432099,500
Black,06/2022,,185,223.25,0.828667413,500
Black,07/2022,,195,214.75,0.908032596,500
Black,08/2022,,200,243,0.823045267,500
Black,09/2022,10/9/2022,55,43.75,1.257142857,500
Other,04/2022,,397,381.25,1.041311475,500
Other,05/2022,,429,439,0.977220957,500
Other,06/2022,,493,464,1.0625,500
Other,07/2022,,603,456.25,1.321643836,500
Other,08/2022,,665,495.75,1.341401916,500
Other,09/2022,10/9/2022,175,80.75,2.167182663,500
Latinx,04/2022,,134,115.5,1.16017316,500
Latinx,05/2022,,132,134.25,0.983240223,500
Latinx,06/2022,,167,130.75,1.277246654,500
Latinx,07/2022,,193,147.25,1.310696095,500
Latinx,08/2022,,196,165.5,1.18429003,500
Latinx,09/2022,10/9/2022,40,23.5,1.70212766,500
Female,04/2022,,,,,500
Female,05/2022,,,,,500
Female,06/2022,,,,,500
Female,07/2022,,,,,500
Female,08/2022,,,,,
Female,09/2022,10/9/2022,,,,500
