position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
1,2024-03-01,2025-02-28,EASTWOOD TIC OWNER I LLC -PLAINTI,6816 CRABAPPLE CIR,128,0.311,39.03041,-94.502103
2,2024-03-01,2025-02-28,BH MANAGEMENT SERVICES LLC OBO WHISPERING LAKE INVESTORS LLC -PLAINTI,4330 NORTHERN AVE,103,0.311,39.043217,-94.455954
3,2024-03-01,2025-02-28,"GREENS AT GRAND SUMMIT, A L.P. -PLAINTI",15213 GRAND SUMMIT EXT,74,0.311,38.853583,-94.515755
4,2024-03-01,2025-02-28,CCW HAVEN LLC -PLAINTI,10308 HILLCREST RD,59,0.311,38.93644,-94.523933
5,2024-03-01,2025-02-28,THE OWNER HUDSON RESE -PLAINTI,7312 E 87TH TER,56,0.311,38.964803,-94.503413
6,2024-03-01,2025-02-28,LARKSPUR POINTE LLC -PLAINTI,16903 E LARKSPUR LN,54,0.311,39.069546,-94.379774
7,2024-03-01,2025-02-28,MR ASSOCIATES LLC -PLAINTI,1111 E 116TH TER,48,0.311,38.91509,-94.577398
8,2024-03-01,2025-02-28,KC WALDO HEIGHTS APTS LLC -PLAINTI,8001 CAMPBELL ST,47,0.311,38.982128,-94.577319
9,2024-03-01,2025-02-28,"THE FAIRWAYS AT GRAND SUMMIT PHASE III, A L.P. -PLAINTI",15002 GRAND SUMMIT TRL,45,0.311,38.851651,-94.517376
10,2024-03-01,2025-02-28,"BANNISTER GARDENS APARTMENTS, L.P. -PLAINTI",911 E 93RD ST,44,0.311,38.958502,-94.579492
