group,month,month_last_day,month_filings,avg_filings,month_diff
White,02/2022,,237,423.5,0.559622195985832
White,03/2022,,323,361.25,0.894117647058824
White,04/2022,,227,389.25,0.583172768143866
White,05/2022,,206,394.5,0.522179974651458
White,06/2022,,180,416.25,0.432432432432432
White,07/2022,09/07/2022,28,69,0.405797101449275
Black,02/2022,,199,472.25,0.421386977236633
Black,03/2022,,388,403.5,0.961586121437423
Black,04/2022,,243,379.25,0.640738299274885
Black,05/2022,,239,499.5,0.478478478478479
Black,06/2022,,340,450.25,0.755136035535814
Black,07/2022,09/07/2022,52,106.25,0.489411764705882
Other,02/2022,,193,281.75,0.685004436557232
Other,03/2022,,197,247.5,0.795959595959596
Other,04/2022,,124,256.5,0.483430799220273
Other,05/2022,,153,294.75,0.519083969465649
Other,06/2022,,228,304.5,0.748768472906404
Other,07/2022,09/07/2022,39,77.75,0.501607717041801
