position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
1,2022-03-31,2023-03-04,PARADIGM PROPERTIES MANAGEMENT TEAM INC BIVENS,3301 SW 13TH ST,46,0.595,29.622142,-82.337478
2,2022-03-31,2023-03-04,PARADIGM PROPERTIES MANAGEMENT TEAM INC ARBOR PARK,309 SW 16TH AVE,28,0.595,29.635649,-82.329497
3,2022-03-31,2023-03-04,COASTAL RIDGE MANAGEMENT LLC,2800 SW WILLISTON RD,28,0.595,29.609496,-82.365613
4,2022-03-31,2023-03-04,PEP UF LLC,1000 SW 62ND BLVD,25,0.595,29.64256,-82.39901
5,2022-03-31,2023-03-04,GRANITE LAMPLIGHTER LLC,2339 NE 52ND ST,24,0.595,29.674194,-82.261641
6,2022-03-31,2023-03-04,PARADIGM PROPERTIES MANAGEMENT TEAM INC THE,2701 SW 13TH ST,23,0.595,29.62628,-82.337694
7,2022-03-31,2023-03-04,YES PALMS OF ARCHER LLC YES HOMESALES LLC,7117 SW ARCHER RD,20,0.595,29.598975,-82.417177
8,2022-03-31,2023-03-04,SANTA FE OAKS PHASE I LTD,8008 NW 31ST AVE,20,0.595,29.680814,-82.427912
9,2022-03-31,2023-03-04,BROOKSIDE PARTNERS LTD,550 NW 146TH DR,18,0.595,29.658023,-82.499479
10,2022-03-31,2023-03-04,PARADIGM PROPERTIES MANAGEMENT TEAM INC THE POLOS,2330 SW WILLISTON RD,17,0.595,29.614009,-82.357624
