position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,2022-01-08,MOUNTAIN VIEW EQUITY,370 E HARMON AVE,632,0.281
2,2020-03-15,2022-01-08,EAGLE TRACE APARTMENTS,5370 E CRAIG RD,427,0.281
3,2020-03-15,2022-01-08,WABASH HILLCREST REGENCY LP,6555 BOULDER HWY,338,0.281
4,2020-03-15,2022-01-08,ACVII-3600 SWENSON OWNER LLC,3540 UNIVERSITY CENTER DR,338,0.281
5,2020-03-15,2022-01-08,3D INVESTMENTS LLC,3770 UNIVERSITY CENTER DR,323,0.281
6,2020-03-15,2022-01-08,LA WILSHIRE CORP,4855 BOULDER HWY,287,0.281
7,2020-03-15,2022-01-08,9225 WEST CHARLESTON BLVD LLC,9225 W CHARLESTON BLVD,278,0.281
8,2020-03-15,2022-01-08,SPORTSMANS ROYAL MANOR,5600 BOULDER HWY,258,0.281
9,2020-03-15,2022-01-08,EMERALD SUITES,3684 PARADISE RD,219,0.281
10,2020-03-15,2022-01-08,SANCTUARY APARTMENTS,2200 N TORREY PINES DR,214,0.281
1,2021-11-14,2022-01-08,MOUNTAIN VIEW EQUITY,370 E HARMON AVE,57,0.374
2,2021-11-14,2022-01-08,EAGLE TRACE,5370 E CRAIG RD,31,0.374
3,2021-11-14,2022-01-08,THE AVONDALE APARTMENT HOMES,9225 W CHARLESTON BLVD,24,0.374
4,2021-11-14,2022-01-08,EMERALD SUITES CONVENTION CENTER,3684 PARADISE RD,21,0.374
5,2021-11-14,2022-01-08,LPP-939 FLAMINGO LLC,969 E FLAMINGO RD,19,0.374
6,2021-11-14,2022-01-08,WESTLAND VILLAS AT DESERT POINTE,995 SIERRA VISTA DR,18,0.374
7,2021-11-14,2022-01-08,SHELTER ISLAND APARTMENTS,3770 UNIVERSITY CENTER DR,17,0.374
8,2021-11-14,2022-01-08,THE CROSSINGS AT LAKE MEAD,5801 W LAKE MEAD BLVD,16,0.374
9,2021-11-14,2022-01-08,PORTOFINO VILLAS INVESTMENTS LLC,6300 W LAKE MEAD BLVD,16,0.374
10,2021-11-14,2022-01-08,ACVII-SWENSON OWNER LLC,3540 UNIVERSITY CENTER DR,15,0.374
