group,month,month_last_day,month_filings_ex_miami_dade,avg_filings_ex_miami_dade,month_filings,avg_filings,month_diff
White,05/2022,,201,420.833333333333,230,447,0.477623762376238
White,06/2022,,192,441.333333333333,219,471.666666666667,0.435045317220544
White,07/2022,,497,433.833333333333,525,461,1.14560122935075
White,08/2022,,592,445,625,473,1.33033707865169
White,09/2022,,484,400.666666666667,526,425.333333333333,1.20798668885191
White,10/2022,01/10/2022,0,15.5,0,16.3333333333333,0
Black,05/2022,,169,617.666666666667,582,912,0.273610361575823
Black,06/2022,,167,678.5,551,1020.66666666667,0.246131171702284
Black,07/2022,,662,686,1144,1041.66666666667,0.965014577259475
Black,08/2022,,841,729.333333333333,1347,1081.16666666667,1.15310786106033
Black,09/2022,,579,614.833333333333,1038,925,0.941718622933044
Black,10/2022,01/10/2022,0,23.1666666666667,0,36,0
Latinx,05/2022,,69,201.166666666667,882,820,0.342999171499586
Latinx,06/2022,,68,208,948,867.833333333334,0.326923076923077
Latinx,07/2022,,170,218.333333333333,1096,908,0.778625954198473
Latinx,08/2022,,250,226,1382,923.333333333333,1.10619469026549
Latinx,09/2022,,227,185.666666666667,1195,815.333333333333,1.22262118491921
Latinx,10/2022,01/10/2022,0,5,0,25.1666666666667,0
Other,05/2022,,177,723.5,316,829.333333333333,0.24464409122322
Other,06/2022,,152,795.666666666667,298,926.833333333333,0.191034771679933
Other,07/2022,,890,840.833333333333,1033,957,1.05847373637265
Other,08/2022,,1073,871.333333333334,1250,984.166666666667,1.23144605967865
Other,09/2022,,1013,760,1160,860.666666666667,1.33289473684211
Other,10/2022,01/10/2022,0,29.5,0,31.6666666666667,0
