position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
1,2022-09-01,2023-08-31,"LAKE CASTLETON APARTMENTS, LLC ",7923 CARLTON ARMS RD,169,0.178,39.894781,-86.045682
2,2022-09-01,2023-08-31,LAWRENCE LANDING APARTMENTS,6910 E 42ND ST,119,0.178,39.833472,-86.048018
3,2022-09-01,2023-08-31,KNOLL RIDGE TOWNHOMES AND APARTMENTS,11337 E NEW YORK ST,108,0.178,39.778217,-85.963781
4,2022-09-01,2023-08-31,THE BOARDWALK AT WESTLAKE MANAGED ,531 WESTBURY EDR,106,0.178,39.775617,-86.263403
5,2022-09-01,2023-08-31,ASTORIA PARK APARTMENTS,7150 WHARFSIDE LN,105,0.178,39.817516,-86.286106
6,2022-09-01,2023-08-31,SCARBOROUGH LAKE APARTMENTS,6454 WHITEHAVEN RD,102,0.178,39.83865,-86.274859
7,2022-09-01,2023-08-31,SOUTHPORT AT BUCK CREEK,1414 ANNISTON ST,100,0.178,39.659222,-86.134308
8,2022-09-01,2023-08-31,SPANISH OAKS APARTMENTS,3730 LA CROSSE CT,100,0.178,39.825915,-85.980629
9,2022-09-01,2023-08-31,STONE LAKE APTS,2827 EL LAGO NORTH DR,87,0.178,39.707284,-86.115428
10,2022-09-01,2023-08-31,THE LIFE AT HARRISON TRAILS,7059 MCINTOSH LN,85,0.178,39.850312,-86.044652
