position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
1,2024-03-01,2025-02-28,TREE HOUSE,3500 UNIVERSITY BLVD N,117,0.34,30.362985,-81.608845
2,2024-03-01,2025-02-28,"OAKS AT NORMANDY ACQUISITION LLC, A LIMITED LIABILITY COMPANY",7777 NORMANDY BLVD,96,0.34,30.296872,-81.777165
3,2024-03-01,2025-02-28,"LP, RIVERBANK APTS",1591 LANE AVE S,95,0.34,30.292319,-81.750763
4,2024-03-01,2025-02-28,PARADISE ISLAND APTS,7845 PARADISE ISLAND BLVD,93,0.34,30.200954,-81.54343
5,2024-03-01,2025-02-28,"CAROLINE SQUARE REALTY LLC, A LIMITED LIABILITY COMPANY",5959 FT CAROLINE RD,90,0.34,30.367728,-81.600282000000007
6,2024-03-01,2025-02-28,BENNETT CREEK APARTMENTS,6680 BENNETT CREEK DR,84,0.34,30.261125,-81.593914
7,2024-03-01,2025-02-28,OAKS AT RED BAY LLC,7528 ARLINGTON EXPY,84,0.34,30.325652,-81.580191
8,2024-03-01,2025-02-28,THE AVERY AT RIVERCITY MARKETPLACE,14200 DUVAL RD,79,0.34,30.473561,-81.652194
9,2024-03-01,2025-02-28,GREGORY COVE APARTMENTS,5601 EDENFIELD RD,77,0.34,30.38299,-81.60506
10,2024-03-01,2025-02-28,"KENDALL COURT LLC, A LIMITED LIABILITY COMPANY",10535 LEM TURNER RD,76,0.34,30.426656,-81.69239
